Number	FIELD NAME	Position	Length	Field Type
1	THCIC_ID                           	1	6	Alphanumeric
2	PROVIDER_NAME                     	7	55	Alphanumeric
3	FAC_TEACHING_IND                  	62	1	Alphanumeric
4	FAC_PSYCH_IND                      	63	1	Alphanumeric
5	FAC_REHAB_IND                      	64	1	Alphanumeric
6	FAC_ACUTE_CARE_IND                	65	1	Alphanumeric
7	FAC_SNF_IND                        	66	1	Alphanumeric
8	FAC_LONG_TERM_AC_IND              	67	1	Alphanumeric
9	FAC_OTHER_LTC_IND                  	68	1	Alphanumeric
10	FAC_PEDS_IND                       	69	1	Alphanumeric
