pair_id,value_in,value_out
1,[empty string],[empty string]
1,F,1
1,M,0
1,U,[empty string]
2,41,1
4,9,4
4,10,6
4,11,6
4,12,3
4,13,6
4,14,3
4,15,6
4,16,1
4,`,[empty string]
4,``,4
4,09,4
4,AM,6
4,BL,3
4,CH,6
4,CI,6
4,DS,6
4,HM,3
4,LI,6
4,LM,6
4,MA,1
4,MB,1
4,MC,2
4,OF,6
4,TV,6
4,VA,6
4,WC,6
4,ZZ,4
5,9,4
5,10,6
5,11,6
5,12,3
5,13,6
5,14,3
5,15,6
5,16,1
5,`,[empty string]
5,``,4
5,09,4
5,AM,6
5,BL,3
5,CH,6
5,CI,6
5,DS,6
5,HM,3
5,LI,6
5,LM,6
5,MA,1
5,MB,1
5,MC,2
5,OF,6
5,TV,6
5,VA,6
5,WC,6
5,ZZ,4
6,*,[empty string]
6,A,4
6,B,6
6,C,1
6,D,2
6,E,6
6,F,3
6,G,3
6,H,6
6,I,6
7,*,[empty string]
7,A,4
7,B,6
7,C,1
7,D,2
7,E,6
7,F,3
7,G,3
7,H,6
7,I,6
52,1,5
52,2,4
52,3,2
52,4,1
52,5,6
52,*,[empty string]
53,1,3
54,3,2
55,9,[empty string]
55,*,[empty string]
55,`,[empty string]
57,0,6
57,9,[empty string]
57,*,[empty string]
57,`,[empty string]
58,0,1
58,1,1
58,2,1
58,3,2
58,4,3
58,5,4
58,6,4
58,7,5
58,8,6
58,9,7
58,10,8
58,11,9
58,12,10
58,13,11
58,14,12
58,15,13
58,16,14
58,17,15
58,18,16
58,19,17
58,20,18
58,21,18
58,*,[empty string]
59,0,22
59,1,22
59,2,22
59,3,22
59,4,22
59,5,22
59,6,22
59,7,22
59,8,23
59,9,23
59,10,23
59,11,23
59,12,24
59,13,24
59,14,24
59,15,24
59,16,25
59,17,25
59,18,26
59,19,26
59,20,26
59,21,26
59,22,22
59,23,23
59,24,24
59,25,25
59,26,26
59,[empty string],[empty string]
59,*,[empty string]
60,[empty string],[empty string]
61,[empty string],[empty string]
62,[empty string],[empty string]
63,[empty string],[empty string]
64,[empty string],[empty string]
65,[empty string],[empty string]
66,[empty string],[empty string]
67,[empty string],[empty string]
68,[empty string],[empty string]
69,[empty string],[empty string]
70,[empty string],[empty string]
71,[empty string],[empty string]
72,[empty string],[empty string]
73,[empty string],[empty string]
74,[empty string],[empty string]
75,[empty string],[empty string]
76,[empty string],[empty string]
77,[empty string],[empty string]
78,[empty string],[empty string]
79,[empty string],[empty string]
80,[empty string],[empty string]
81,[empty string],[empty string]
82,[empty string],[empty string]
