6889010BA               32001NV320152010
6880010BC               32002NV320032010
6880025CA               32003NV320252010
6880050CH               32009NV320012010
6880039CN               32035NV320032010
6880027CV               32030NV320052010
       DC               -9999NV-99992010
6880075DS               32004NV320032010
6880037DV               32036NV320232010
6880003EF               32037NV320032010
6880040EG               32026NV320072010
6880003FH               32037NV320032010
6880003FV               32037NV320032010
6880004GD               32005NV320172010
6880016HH               32038NV320032010
6880001HL               32039NV320032010
6880015HO               32040NV320032010
6880002HR               32041NV320312010
6880069HS               32006NV320032010
6880019HT               32042NV320032010
6880150HU               32007NV320132010
6880200IV               32024NV320312010
6880029ME               32031NV320032010
6880055MG               32010NV320212010
6880079MO               32043NV320032010
6880007MV               32011NV320032010
6889100NG               32012NV320232010
6889060NV               32008NV320032010
6880072PG               32013NV320272010
       RR               -9999NV-99992010
6880032SA               32034NV320032010
6880155SC               32014NV320192010
6880035SE               32033NV320252010
6880125SF               32015NV320312010
6880013SH               32028NV320032010
6880008SI               32025NV320032010
6880110SM               32017NV320312010
6880026SP               32044NV320032010
6880060SR               32018NV320032010
6880041ST               32045NV320032010
6880006SU               32019NV320032010
6880014SV               32029NV320032010
6880005TP               32046NV320312010
6880071UM               32020NV320032010
6880073VL               32021NV320032010
6880130WA               32022NV320312010
6880045WB               32023NV320332010
6880031WV               32032NV320312010
