field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,411660,512,112.00,49.90,0.00,27.65,AR,2010
AGEDAY,42750,369422,364.00,12.67,0.00,50.44,AR,2010
AGEMONTH,51451,360721,131.00,10.98,0.00,28.35,AR,2010
AHOUR,412172,0,2300.00,1253.72,0.00,594.27,AR,2010
AMONTH,412168,4,12.00,6.47,1.00,3.44,AR,2010
APGAR1,33132,379040,10.00,7.96,0.00,1.29,AR,2010
APGAR5,36087,376085,10.00,8.86,0.00,0.78,AR,2010
ASOURCE,83154,329018,5.00,3.53,1.00,1.61,AR,2010
ATYPE,411618,554,5.00,2.17,1.00,1.04,AR,2010
AWEEKEND,411697,475,1.00,0.18,0.00,0.38,AR,2010
BWT,37391,374781,9128.00,3214.52,237.00,614.77,AR,2010
DHOUR,393047,19125,2300.00,1345.53,0.00,360.21,AR,2010
DIED,412096,76,1.00,0.02,0.00,0.14,AR,2010
DISPUB04,412096,76,70.00,5.95,1.00,14.57,AR,2010
DISPUNIFORM,412096,76,99.00,2.59,1.00,4.67,AR,2010
DQTR,412172,0,4.00,2.49,1.00,1.12,AR,2010
DRG,412172,0,999.00,543.95,1.00,278.12,AR,2010
DRG24,412172,0,579.00,314.82,1.00,162.62,AR,2010
DRGVER,412172,0,28.00,27.25,27.00,0.43,AR,2010
DRG_NoPOA,412172,0,999.00,543.56,1.00,277.91,AR,2010
DXCCS1,412033,139,670.00,193.24,1.00,150.21,AR,2010
DXCCS2,391836,20336,670.00,177.30,1.00,161.05,AR,2010
DXCCS3,351575,60597,670.00,175.00,1.00,163.80,AR,2010
DXCCS4,314855,97317,670.00,172.87,1.00,166.43,AR,2010
DXCCS5,280821,131351,670.00,172.46,1.00,168.00,AR,2010
DXCCS6,248472,163700,670.00,174.31,1.00,169.76,AR,2010
DXCCS7,215606,196566,670.00,174.27,1.00,168.50,AR,2010
DXCCS8,187557,224615,670.00,175.78,1.00,168.14,AR,2010
DXCCS9,161882,250290,670.00,176.73,1.00,166.44,AR,2010
DXCCS10,137423,274749,670.00,178.64,1.00,165.78,AR,2010
DXCCS11,114346,297826,670.00,180.28,1.00,165.52,AR,2010
DXCCS12,96204,315968,670.00,181.85,1.00,164.40,AR,2010
DXCCS13,80677,331495,670.00,182.46,1.00,162.42,AR,2010
DXCCS14,67091,345081,670.00,183.19,1.00,160.87,AR,2010
DXCCS15,55419,356753,670.00,183.30,1.00,158.48,AR,2010
DXCCS16,44993,367179,670.00,183.54,1.00,155.90,AR,2010
DXCCS17,36576,375596,670.00,184.28,1.00,155.76,AR,2010
DXCCS18,29006,383166,670.00,184.41,1.00,153.41,AR,2010
DaysToEvent,385847,26325,18624.00,15422.83,11765.00,1741.04,AR,2010
E_CCS1,64199,347973,2621.00,2536.85,662.00,377.29,AR,2010
E_CCS2,34405,377767,2621.00,2555.32,662.00,341.87,AR,2010
E_CCS3,7037,405135,2621.00,2536.80,662.00,389.44,AR,2010
E_CCS4,1687,410485,2621.00,2537.82,662.00,387.52,AR,2010
E_CCS5,297,411875,2621.00,2479.07,662.00,502.09,AR,2010
E_CCS6,122,412050,2621.00,2441.60,662.00,562.54,AR,2010
E_CCS7,26,412146,2621.00,2618.12,2603.00,4.90,AR,2010
E_CCS8,2,412170,2603.00,2602.00,2601.00,1.41,AR,2010
FEMALE,412137,35,1.00,0.59,0.00,0.49,AR,2010
HCUP_ED,412172,0,4.00,0.45,0.00,0.65,AR,2010
HCUP_OS,412172,0,1.00,0.06,0.00,0.24,AR,2010
HOSPBRTH,412172,0,1.00,0.09,0.00,0.29,AR,2010
LOS,411650,522,364.00,5.03,0.00,8.86,AR,2010
