field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,789490,86,108.00,45.92,0.00,28.06,AZ,2009
AGEDAY,104700,684876,364.00,14.96,0.00,54.67,AZ,2009
AGEMONTH,127352,662224,131.00,10.48,0.00,26.37,AZ,2009
AHOUR,789576,0,2300.00,1269.87,0.00,635.28,AZ,2009
AMONTH,789576,0,12.00,6.47,1.00,3.47,AZ,2009
ATYPE,789077,499,5.00,2.00,1.00,1.12,AZ,2009
AWEEKEND,789576,0,1.00,0.20,0.00,0.40,AZ,2009
BWT,89905,699671,8665.00,3270.98,230.00,568.47,AZ,2009
DHOUR,789575,1,2300.00,1435.25,0.00,315.27,AZ,2009
DIED,789576,0,1.00,0.01,0.00,0.11,AZ,2009
DISPUB04,789576,0,70.00,4.45,1.00,12.29,AZ,2009
DISPUNIFORM,789576,0,99.00,2.07,1.00,2.68,AZ,2009
DNR,11731,777845,1.00,1.00,1.00,0.00,AZ,2009
DQTR,789576,0,4.00,2.49,1.00,1.12,AZ,2009
DRG,789576,0,999.00,534.10,1.00,268.21,AZ,2009
DRG24,789576,0,579.00,316.33,1.00,159.95,AZ,2009
DRGVER,789576,0,27.00,26.25,26.00,0.43,AZ,2009
DRG_NoPOA,789576,0,999.00,534.10,1.00,268.21,AZ,2009
DXCCS1,789568,8,670.00,171.11,1.00,105.23,AZ,2009
DXCCS2,755251,34325,670.00,153.85,1.00,125.97,AZ,2009
DXCCS3,668619,120957,670.00,159.36,1.00,143.02,AZ,2009
DXCCS4,597193,192383,670.00,163.13,1.00,153.62,AZ,2009
DXCCS5,533594,255982,670.00,166.81,1.00,160.45,AZ,2009
DXCCS6,475554,314022,670.00,170.13,1.00,164.64,AZ,2009
DXCCS7,421537,368039,670.00,173.03,1.00,167.09,AZ,2009
DXCCS8,370870,418706,670.00,174.98,1.00,167.62,AZ,2009
DXCCS9,323964,465612,670.00,176.95,1.00,168.23,AZ,2009
DXCCS10,281061,508515,670.00,177.97,1.00,167.70,AZ,2009
DXCCS11,242085,547491,670.00,178.83,1.00,166.26,AZ,2009
DXCCS12,207135,582441,670.00,179.95,1.00,165.71,AZ,2009
DXCCS13,175906,613670,670.00,180.40,1.00,164.79,AZ,2009
DXCCS14,148008,641568,670.00,180.35,1.00,163.11,AZ,2009
DXCCS15,123917,665659,670.00,182.58,1.00,163.78,AZ,2009
