field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,3944727,45528,108.00,44.32,0.00,28.66,CA,2005
AGEDAY,583872,3406383,364.00,11.06,0.00,47.08,CA,2005
AGEMONTH,633409,3356846,131.00,4.34,0.00,17.00,CA,2005
AMONTH,3970653,19602,12.00,6.49,1.00,3.45,CA,2005
ASCHED,3986631,3624,1.00,0.21,0.00,0.41,CA,2005
ASOURCE,3989618,637,5.00,3.18,1.00,1.93,CA,2005
AWEEKEND,3990254,1,1.00,0.20,0.00,0.40,CA,2005
DIED,3989694,561,1.00,0.02,0.00,0.14,CA,2005
DISPUNIFORM,3989694,561,99.00,2.55,1.00,5.99,CA,2005
DNR,3986468,3787,1.00,0.04,0.00,0.20,CA,2005
DQTR,3990255,0,4.00,2.50,1.00,1.12,CA,2005
DRG,3990255,0,559.00,295.54,1.00,142.81,CA,2005
DRG18,3990255,0,511.00,280.17,1.00,138.42,CA,2005
DRGVER,3990255,0,23.00,22.25,22.00,0.43,CA,2005
DXATADMIT1,3985504,4751,1.00,0.97,0.00,0.16,CA,2005
DXATADMIT2,3534117,456138,1.00,0.93,0.00,0.25,CA,2005
DXATADMIT3,2961866,1028389,1.00,0.93,0.00,0.25,CA,2005
DXATADMIT4,2500459,1489796,1.00,0.94,0.00,0.24,CA,2005
DXATADMIT5,2098910,1891345,1.00,0.94,0.00,0.24,CA,2005
DXATADMIT6,1749135,2241120,1.00,0.94,0.00,0.24,CA,2005
DXATADMIT7,1446580,2543675,1.00,0.94,0.00,0.24,CA,2005
DXATADMIT8,1188417,2801838,1.00,0.94,0.00,0.24,CA,2005
DXATADMIT9,970840,3019415,1.00,0.94,0.00,0.24,CA,2005
DXATADMIT10,786442,3203813,1.00,0.93,0.00,0.25,CA,2005
DXATADMIT11,631666,3358589,1.00,0.93,0.00,0.25,CA,2005
DXATADMIT12,506645,3483610,1.00,0.93,0.00,0.26,CA,2005
DXATADMIT13,405474,3584781,1.00,0.92,0.00,0.27,CA,2005
DXATADMIT14,321736,3668519,1.00,0.92,0.00,0.27,CA,2005
DXATADMIT15,252633,3737622,1.00,0.91,0.00,0.28,CA,2005
DXATADMIT16,195831,3794424,1.00,0.91,0.00,0.29,CA,2005
DXATADMIT17,155740,3834515,1.00,0.90,0.00,0.30,CA,2005
DXATADMIT18,124273,3865982,1.00,0.90,0.00,0.31,CA,2005
DXATADMIT19,98819,3891436,1.00,0.89,0.00,0.31,CA,2005
DXATADMIT20,78939,3911316,1.00,0.88,0.00,0.32,CA,2005
DXATADMIT21,62814,3927441,1.00,0.87,0.00,0.33,CA,2005
DXATADMIT22,49997,3940258,1.00,0.86,0.00,0.34,CA,2005
DXATADMIT23,39504,3950751,1.00,0.85,0.00,0.35,CA,2005
DXATADMIT24,30669,3959586,1.00,0.85,0.00,0.36,CA,2005
DXATADMIT25,23797,3966458,1.00,0.83,0.00,0.37,CA,2005
DXCCS1,3990155,100,259.00,151.94,1.00,65.57,CA,2005
DXCCS2,3543352,446903,259.00,129.51,1.00,68.77,CA,2005
DXCCS3,2970122,1020133,259.00,127.14,1.00,71.14,CA,2005
DXCCS4,2507750,1482505,259.00,127.04,1.00,71.63,CA,2005
DXCCS5,2104977,1885278,259.00,121.13,1.00,68.18,CA,2005
DXCCS6,1754243,2236012,259.00,119.26,1.00,66.62,CA,2005
DXCCS7,1450941,2539314,259.00,115.68,1.00,63.19,CA,2005
DXCCS8,1192085,2798170,259.00,117.61,1.00,64.13,CA,2005
DXCCS9,973911,3016344,259.00,114.72,1.00,62.93,CA,2005
DXCCS10,789001,3201254,259.00,119.90,1.00,66.47,CA,2005
DXCCS11,633908,3356347,259.00,118.50,1.00,66.80,CA,2005
DXCCS12,508530,3481725,259.00,116.37,1.00,62.72,CA,2005
DXCCS13,407034,3583221,259.00,117.19,1.00,60.97,CA,2005
DXCCS14,323106,3667149,259.00,115.17,1.00,63.59,CA,2005
DXCCS15,253736,3736519,259.00,121.93,1.00,59.41,CA,2005
DXCCS16,196719,3793536,259.00,123.74,1.00,74.32,CA,2005
DXCCS17,156576,3833679,259.00,124.34,1.00,74.88,CA,2005
DXCCS18,124948,3865307,259.00,123.69,1.00,75.30,CA,2005
DXCCS19,99343,3890912,259.00,124.44,1.00,75.76,CA,2005
DXCCS20,79367,3910888,259.00,124.66,1.00,76.40,CA,2005
DXCCS21,63215,3927040,259.00,124.71,1.00,76.53,CA,2005
DXCCS22,50310,3939945,259.00,125.00,1.00,77.23,CA,2005
DXCCS23,39770,3950485,259.00,124.95,1.00,77.70,CA,2005
DXCCS24,30885,3959370,259.00,124.67,1.00,77.67,CA,2005
DXCCS25,23976,3966279,259.00,125.91,1.00,78.52,CA,2005
E_CCS1,471550,3518705,2621.00,2611.83,2601.00,6.23,CA,2005
E_CCS2,451508,3538747,2621.00,2620.67,2601.00,1.72,CA,2005
E_CCS3,46942,3943313,2621.00,2617.39,2601.00,4.85,CA,2005
E_CCS4,16470,3973785,2621.00,2618.90,2601.00,3.72,CA,2005
E_CCS5,2679,3987576,2621.00,2617.78,2601.00,3.91,CA,2005
FEMALE,3852353,137902,1.00,0.59,0.00,0.49,CA,2005
HCUP_ED,3990255,0,4.00,1.63,0.00,1.97,CA,2005
HCUP_OS,3990255,0,0.00,0.00,0.00,0.00,CA,2005
LOS,3988888,1367,365.00,4.77,0.00,8.64,CA,2005
LOS_X,3990252,3,6919.00,5.14,0.00,27.45,CA,2005
