field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,383902,130,115.00,41.81,0.00,27.84,CO,1993
AGEDAY,57177,326855,364.00,15.00,0.00,55.55,CO,1993
SEX,383947,85,2.00,1.59,1.00,0.49,CO,1993
RACE,282371,101661,6.00,1.44,1.00,1.01,CO,1993
DQTR,384032,0,4.00,2.48,1.00,1.12,CO,1993
LOS,383504,528,548.00,4.65,0.00,6.93,CO,1993
DISP,384027,5,20.00,1.91,1.00,2.88,CO,1993
DIED,384027,5,1.00,0.02,0.00,0.14,CO,1993
NDX,384032,0,15.00,3.73,1.00,2.50,CO,1993
DXV1,384014,18,1.00,0.00,0.00,0.00,CO,1993
DCCHPR1,384028,4,259.00,157.89,1.00,63.69,CO,1993
NPR,384032,0,15.00,1.34,0.00,1.58,CO,1993
PRV1,238542,145490,1.00,0.00,0.00,0.01,CO,1993
PCCHPR1,238601,145431,231.00,118.10,1.00,56.12,CO,1993
DRG,384032,0,494.00,269.03,1.00,134.11,CO,1993
MDC,384032,0,25.00,10.23,0.00,5.56,CO,1993
DRGVER,384032,0,11.00,10.24,10.00,0.43,CO,1993
DRG10,384032,0,492.00,268.29,1.00,133.69,CO,1993
MDC10,384032,0,25.00,10.23,0.00,5.56,CO,1993
PAY1,384028,4,6.00,2.53,1.00,1.21,CO,1993
DSNUM,384032,0,12.00,12.00,12.00,0.00,CO,1993
DSTYPE,384032,0,2.00,2.00,2.00,0.00,CO,1993
ADAYWK,384031,1,7.00,3.95,1.00,1.83,CO,1993
AMONTH,384032,0,12.00,6.45,1.00,3.45,CO,1993
LOS_X,384032,0,21916.00,4.71,-358.00,36.04,CO,1993
NEOMAT,384032,0,3.00,0.42,0.00,0.72,CO,1993
DXSYS,384032,0,1.00,1.00,1.00,0.00,CO,1993
DSNDX,384032,0,15.00,15.00,15.00,0.00,CO,1993
PRSYS,384032,0,1.00,1.00,1.00,0.00,CO,1993
DSNPR,384032,0,15.00,15.00,15.00,0.00,CO,1993
PRDAY1,238466,145566,21912.00,1.31,-4.00,44.99,CO,1993
PAY1_N,384028,4,12.00,3.47,1.00,2.25,CO,1993
DXV3,236470,147562,1.00,0.00,0.00,0.01,CO,1993
DXV4,175275,208757,1.00,0.00,0.00,0.01,CO,1993
DXV5,127932,256100,1.00,0.00,0.00,0.01,CO,1993
DXV6,65394,318638,1.00,0.00,0.00,0.01,CO,1993
DXV7,46466,337566,1.00,0.00,0.00,0.01,CO,1993
DXV8,28374,355658,1.00,0.00,0.00,0.01,CO,1993
DXV9,19875,364157,1.00,0.00,0.00,0.02,CO,1993
DXV10,13206,370826,1.00,0.00,0.00,0.02,CO,1993
DXV11,8406,375626,1.00,0.00,0.00,0.01,CO,1993
DXV12,5464,378568,0.00,0.00,0.00,0.00,CO,1993
DXV13,3837,380195,0.00,0.00,0.00,0.00,CO,1993
DXV14,2645,381387,0.00,0.00,0.00,0.00,CO,1993
DXV15,1775,382257,0.00,0.00,0.00,0.00,CO,1993
DCCHPR2,313511,70521,260.00,141.63,1.00,68.91,CO,1993
DCCHPR3,236477,147555,260.00,134.24,1.00,69.31,CO,1993
DCCHPR4,175274,208758,260.00,128.89,1.00,68.66,CO,1993
DCCHPR5,127936,256096,260.00,125.83,1.00,68.93,CO,1993
DCCHPR6,65394,318638,260.00,123.02,1.00,68.29,CO,1993
DCCHPR7,46463,337569,260.00,122.08,1.00,68.03,CO,1993
DCCHPR8,28372,355660,260.00,121.28,1.00,67.80,CO,1993
DCCHPR9,19869,364163,260.00,122.20,1.00,68.55,CO,1993
DCCHPR10,13203,370829,260.00,122.81,1.00,69.26,CO,1993
DCCHPR11,8405,375627,260.00,123.43,1.00,69.03,CO,1993
DCCHPR12,5464,378568,260.00,123.05,2.00,70.23,CO,1993
DCCHPR13,3837,380195,260.00,124.04,1.00,69.92,CO,1993
DCCHPR14,2645,381387,260.00,126.92,2.00,71.20,CO,1993
DCCHPR15,1775,382257,260.00,125.00,2.00,71.01,CO,1993
PRV2,132614,251418,1.00,0.00,0.00,0.00,CO,1993
PRV3,74355,309677,1.00,0.00,0.00,0.00,CO,1993
