field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,2443850,66,113.00,50.71,0.00,27.57,FL,2003
ASOURCE,2439202,4714,5.00,2.83,1.00,1.97,FL,2003
ATYPE,2443913,3,4.00,1.91,1.00,1.02,FL,2003
AWEEKEND,2443916,0,1.00,0.19,0.00,0.39,FL,2003
DIED,2443916,0,1.00,0.02,0.00,0.15,FL,2003
DISPUB92,2443916,0,51.00,2.67,1.00,5.38,FL,2003
DISPUNIFORM,2443916,0,20.00,2.47,1.00,3.30,FL,2003
DQTR,2443916,0,4.00,2.49,1.00,1.13,FL,2003
DRG,2443916,0,540.00,267.89,1.00,148.68,FL,2003
DRG18,2443916,0,511.00,250.79,1.00,142.34,FL,2003
DRGVER,2443916,0,21.00,20.25,20.00,0.43,FL,2003
DXCCS1,2443886,30,259.00,141.56,1.00,63.56,FL,2003
DXCCS2,2255563,188353,259.00,124.64,1.00,61.75,FL,2003
DXCCS3,1978499,465417,259.00,119.72,1.00,62.18,FL,2003
DXCCS4,1710795,733121,259.00,116.09,1.00,62.20,FL,2003
DXCCS5,1457350,986566,259.00,114.26,1.00,62.33,FL,2003
DXCCS6,1222911,1221005,259.00,113.73,1.00,62.65,FL,2003
DXCCS7,1013406,1430510,259.00,113.65,1.00,62.99,FL,2003
DXCCS8,828619,1615297,259.00,113.97,1.00,63.60,FL,2003
DXCCS9,656136,1787780,259.00,114.29,1.00,64.12,FL,2003
DXCCS10,480880,1963036,259.00,114.53,1.00,64.36,FL,2003
E_CCS1,261385,2182531,2621.00,2611.78,2601.00,6.23,FL,2003
E_CCS2,60227,2383689,2621.00,2619.07,2601.00,4.10,FL,2003
E_CCS3,4100,2439816,2621.00,2616.26,2601.00,4.87,FL,2003
E_CCS4,552,2443364,2621.00,2617.50,2601.00,4.65,FL,2003
E_CCS5,36,2443880,2621.00,2617.39,2603.00,5.21,FL,2003
LOS,2443883,33,365.00,4.83,0.00,6.96,FL,2003
LOS_X,2443916,0,2164.00,4.84,0.00,7.66,FL,2003
MDC,2443916,0,25.00,9.20,0.00,5.55,FL,2003
MDC18,2443916,0,25.00,9.20,0.00,5.55,FL,2003
MDNUM1_R,2443879,37,22043.00,11026.21,2.00,6352.76,FL,2003
MDNUM2_R,1382513,1061403,27310.00,11807.85,2.00,6942.23,FL,2003
NDX,2443916,0,10.00,5.75,1.00,3.05,FL,2003
NECODE,2443916,0,7.00,0.13,0.00,0.42,FL,2003
NEOMAT,2443916,0,3.00,0.27,0.00,0.61,FL,2003
NPR,2443916,0,10.00,1.39,0.00,1.86,FL,2003
PAY1,2443916,0,6.00,2.17,1.00,1.26,FL,2003
PL_CBSA,2361850,82066,2.00,1.91,0.00,0.35,FL,2003
PL_MSA1993,2361850,82066,1.00,0.93,0.00,0.26,FL,2003
PL_RUCA,2341003,102913,10.50,1.76,1.00,1.98,FL,2003
PL_RUCA10,2341003,102913,10.00,1.73,1.00,1.93,FL,2003
PL_RUCA4,2341003,102913,4.00,1.17,1.00,0.59,FL,2003
PL_RUCC2003,2361850,82066,8.00,1.61,1.00,1.10,FL,2003
PL_UIC2003,2361850,82066,7.00,1.56,1.00,1.07,FL,2003
PL_UR_CAT4,2361850,82066,4.00,1.45,1.00,0.68,FL,2003
PL_UR_CAT5,2361850,82066,4.00,1.45,1.00,0.68,FL,2003
PRCCS1,1382706,1061210,231.00,112.40,1.00,61.55,FL,2003
PRCCS2,825563,1618353,231.00,113.40,1.00,65.51,FL,2003
PRCCS3,484706,1959210,231.00,109.03,1.00,69.61,FL,2003
PRCCS4,271727,2172189,231.00,111.60,1.00,73.04,FL,2003
PRCCS5,171695,2272221,231.00,109.09,1.00,75.63,FL,2003
PRCCS6,106264,2337652,231.00,129.07,1.00,79.88,FL,2003
PRCCS7,64599,2379317,231.00,132.77,1.00,78.57,FL,2003
PRCCS8,41678,2402238,231.00,134.49,1.00,78.67,FL,2003
PRCCS9,28001,2415915,231.00,135.80,1.00,78.73,FL,2003
PRCCS10,19074,2424842,231.00,137.66,1.00,78.85,FL,2003
PRDAY1,1382708,1061208,365.00,1.60,-4.00,3.81,FL,2003
PSTCO2,2361850,82066,12133.00,12070.72,12001.00,37.02,FL,2003
RACE,2423459,20457,6.00,1.56,1.00,0.99,FL,2003
TOTCHG,2443436,480,999752.00,23611.91,25.00,37693.12,FL,2003
