field,count,count_null,max,mean,min,stddev_samp,state,year
HOSPID,126949,2141,15025.00,15013.60,15001.00,6.73,HI,2000
AGEDAY,19498,109592,363.00,11.66,0.00,49.24,HI,2000
AGEMONTH,23093,105997,131.00,8.87,0.00,24.28,HI,2000
AMONTH,129090,0,12.00,6.49,1.00,3.46,HI,2000
ASOURCE,126442,2648,5.00,3.23,1.00,1.91,HI,2000
ATYPE,129061,29,4.00,2.04,1.00,1.03,HI,2000
AWEEKEND,129090,0,1.00,0.21,0.00,0.41,HI,2000
BWT,14863,114227,6595.00,3235.04,230.00,604.95,HI,2000
DIED,128907,183,1.00,0.02,0.00,0.16,HI,2000
DISPUB92,129089,1,41.00,1.89,1.00,3.44,HI,2000
DISPUNIFORM,128907,183,20.00,1.90,1.00,3.17,HI,2000
DQTR,129090,0,4.00,2.50,1.00,1.12,HI,2000
DRG,129090,0,511.00,272.51,1.00,140.86,HI,2000
DRG18,129090,0,511.00,272.50,1.00,140.86,HI,2000
DRGVER,129090,0,18.00,17.25,17.00,0.43,HI,2000
DXCCS1,129083,7,259.00,149.65,1.00,64.58,HI,2000
DXCCS2,112132,16958,2621.00,158.27,1.00,275.09,HI,2000
DXCCS3,90764,38326,2621.00,174.14,1.00,365.10,HI,2000
DXCCS4,72073,57017,2621.00,194.68,1.00,436.57,HI,2000
DXCCS5,55854,73236,2621.00,210.89,1.00,484.50,HI,2000
DXCCS6,42568,86522,2621.00,225.76,1.00,520.75,HI,2000
DXCCS7,31949,97141,2621.00,246.95,1.00,567.26,HI,2000
DXCCS8,24037,105053,2621.00,269.00,1.00,609.39,HI,2000
DXCCS9,17777,111313,2621.00,306.77,1.00,674.05,HI,2000
DXCCS10,12500,116590,2621.00,339.15,1.00,725.28,HI,2000
DXCCS11,1257,127833,2621.00,2611.92,2601.00,6.73,HI,2000
FEMALE,129088,2,1.00,0.56,0.00,0.50,HI,2000
LOS,129062,28,363.00,5.23,0.00,10.46,HI,2000
LOS_X,129090,0,2430.00,5.37,0.00,15.54,HI,2000
MDC,129090,0,25.00,9.99,1.00,5.48,HI,2000
MDC18,129090,0,25.00,9.99,1.00,5.48,HI,2000
NDX,129090,0,11.00,4.57,1.00,2.84,HI,2000
NEOMAT,129090,0,3.00,0.43,0.00,0.72,HI,2000
NPR,129090,0,10.00,1.54,0.00,1.83,HI,2000
PAY1,128945,145,6.00,2.77,1.00,1.49,HI,2000
PRCCS1,84091,44999,231.00,121.37,1.00,58.42,HI,2000
PRCCS2,48970,80120,231.00,125.80,1.00,61.05,HI,2000
PRCCS3,27566,101524,231.00,122.92,1.00,65.05,HI,2000
PRCCS4,15220,113870,231.00,126.27,1.00,69.55,HI,2000
PRCCS5,8900,120190,231.00,127.16,1.00,73.59,HI,2000
PRCCS6,5295,123795,231.00,133.00,1.00,75.51,HI,2000
PRCCS7,3312,125778,231.00,139.85,1.00,74.77,HI,2000
PRCCS8,2223,126867,231.00,141.34,2.00,74.14,HI,2000
PRCCS9,1573,127517,231.00,143.66,1.00,74.02,HI,2000
PRCCS10,1102,127988,231.00,146.09,2.00,72.91,HI,2000
PRDAY1,84088,45002,267.00,1.34,-3.00,4.51,HI,2000
PRDAY2,48968,80122,326.00,1.74,-2.00,5.66,HI,2000
PRDAY3,27564,101526,283.00,2.41,-3.00,7.32,HI,2000
PRDAY4,15217,113873,269.00,3.28,-3.00,8.45,HI,2000
PRDAY5,8898,120192,365.00,4.70,-3.00,12.63,HI,2000
PRDAY6,5293,123797,269.00,6.38,-3.00,14.14,HI,2000
PRDAY7,3309,125781,324.00,8.35,-3.00,18.07,HI,2000
PRDAY8,2221,126869,283.00,10.75,-2.00,20.99,HI,2000
PRDAY9,1570,127520,256.00,12.10,-2.00,21.00,HI,2000
PRDAY10,1099,127991,293.00,14.59,-2.00,25.62,HI,2000
RACE,120469,8621,6.00,3.23,1.00,1.58,HI,2000
TOTCHG,114720,14370,994311.00,15101.80,85.00,32949.21,HI,2000
AGEGROUP,129034,56,19.00,9.34,1.00,5.55,HI,2000
AYEAR,129090,0,2000.00,1999.99,1994.00,0.12,HI,2000
DMONTH,129090,0,12.00,6.50,1.00,3.46,HI,2000
BMONTH,129090,0,12.00,6.54,1.00,3.45,HI,2000
BYEAR,129090,0,2000.00,1956.17,1893.00,28.36,HI,2000
PRMONTH1,84088,45002,12.00,6.42,1.00,3.44,HI,2000
PRMONTH2,48968,80122,12.00,6.33,1.00,3.44,HI,2000
PRMONTH3,27564,101526,12.00,6.31,1.00,3.45,HI,2000
PRMONTH4,15217,113873,12.00,6.29,1.00,3.44,HI,2000
