field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,362133,8,111.00,52.01,0.00,29.23,IA,2005
AGEDAY,43478,318663,364.00,12.63,0.00,51.29,IA,2005
AGEMONTH,50902,311239,131.00,8.03,0.00,22.80,IA,2005
AMONTH,362141,0,12.00,6.42,1.00,3.46,IA,2005
ASOURCE,346695,15446,5.00,3.47,1.00,1.88,IA,2005
ATYPE,361497,644,5.00,2.30,1.00,0.98,IA,2005
AWEEKEND,362141,0,1.00,0.18,0.00,0.39,IA,2005
DIED,362141,0,1.00,0.02,0.00,0.15,IA,2005
DISPUB92,362141,0,65.00,4.87,1.00,12.41,IA,2005
DISPUNIFORM,362141,0,20.00,2.52,1.00,3.21,IA,2005
DQTR,362141,0,4.00,2.48,1.00,1.12,IA,2005
DRG,362141,0,559.00,282.51,1.00,149.19,IA,2005
DRG18,362141,0,511.00,259.40,1.00,140.82,IA,2005
DRGVER,362141,0,23.00,22.25,22.00,0.43,IA,2005
DXCCS1,362140,1,259.00,156.67,1.00,64.37,IA,2005
DXCCS2,330081,32060,259.00,127.77,1.00,66.48,IA,2005
DXCCS3,290021,72120,259.00,121.65,1.00,65.21,IA,2005
DXCCS4,252976,109165,259.00,118.04,1.00,64.51,IA,2005
DXCCS5,217172,144969,259.00,116.98,1.00,64.48,IA,2005
DXCCS6,179707,182434,259.00,117.71,1.00,64.87,IA,2005
DXCCS7,148119,214022,259.00,119.07,1.00,65.60,IA,2005
DXCCS8,118007,244134,259.00,120.30,1.00,66.26,IA,2005
DXCCS9,87712,274429,259.00,121.36,1.00,66.74,IA,2005
E_CCS1,32599,329542,2621.00,2610.93,2601.00,6.36,IA,2005
E_CCS2,17054,345087,2621.00,2614.61,2601.00,6.80,IA,2005
E_CCS3,2978,359163,2621.00,2609.95,2601.00,6.79,IA,2005
E_CCS4,2003,360138,2621.00,2620.09,2601.00,3.33,IA,2005
E_CCS5,107,362034,2621.00,2616.21,2601.00,5.53,IA,2005
E_CCS6,7,362134,2621.00,2617.57,2613.00,4.28,IA,2005
FEMALE,362095,46,1.00,0.59,0.00,0.49,IA,2005
HCUP_ED,362141,0,4.00,0.84,0.00,1.17,IA,2005
HCUP_OS,362141,0,0.00,0.00,0.00,0.00,IA,2005
LOS,362131,10,365.00,4.34,0.00,6.12,IA,2005
LOS_X,362141,0,2480.00,4.37,0.00,8.92,IA,2005
MDC,362141,0,25.00,9.72,1.00,5.77,IA,2005
MDC18,362141,0,25.00,9.72,0.00,5.77,IA,2005
MDNUM1_R,353819,8322,6818.00,1728.84,2.00,1455.48,IA,2005
MDNUM2_R,204860,157281,6957.00,1816.71,2.00,1509.45,IA,2005
MDNUM3_R,178112,184029,6973.00,1817.53,2.00,1530.18,IA,2005
MEDINCSTQ,358145,3996,4.00,2.32,1.00,1.10,IA,2005
NECODE,362141,0,6.00,0.15,0.00,0.54,IA,2005
NEOMAT,362141,0,3.00,0.34,0.00,0.67,IA,2005
NPR,362141,0,6.00,1.38,0.00,1.67,IA,2005
PAY1,362141,0,6.00,2.01,1.00,1.08,IA,2005
PL_CBSA,361761,380,2.00,1.21,0.00,0.86,IA,2005
PL_MSA1993,361761,380,1.00,0.43,0.00,0.49,IA,2005
