field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,627329,4,107.00,49.37,0.00,26.69,KY,2008
AGEDAY,57962,569371,364.00,18.65,0.00,61.43,KY,2008
AGEMONTH,73909,553424,131.00,12.89,0.00,29.02,KY,2008
AMONTH,627333,0,12.00,6.43,1.00,3.46,KY,2008
ASOURCE,43804,583529,5.00,3.00,1.00,1.93,KY,2008
ATYPE,626782,551,5.00,2.08,1.00,1.04,KY,2008
AWEEKEND,627333,0,1.00,0.19,0.00,0.39,KY,2008
BWT,47345,579988,8590.00,3249.38,229.00,583.52,KY,2008
DIED,627333,0,1.00,0.02,0.00,0.14,KY,2008
DISPUB04,627333,0,70.00,4.62,1.00,12.01,KY,2008
DISPUNIFORM,627333,0,99.00,2.44,1.00,3.38,KY,2008
DNR,14642,612691,1.00,1.00,1.00,0.00,KY,2008
DQTR,627333,0,4.00,2.48,1.00,1.12,KY,2008
DRG,627333,0,999.00,512.74,1.00,273.49,KY,2008
DRG24,627333,0,579.00,298.87,1.00,165.03,KY,2008
DRGVER,627333,0,26.00,25.24,25.00,0.43,KY,2008
DRG_NoPOA,627333,0,999.00,512.69,1.00,273.46,KY,2008
DXCCS1,627333,0,670.00,183.78,1.00,142.94,KY,2008
DXCCS2,596157,31176,670.00,170.92,1.00,153.89,KY,2008
DXCCS3,540699,86634,670.00,171.64,1.00,163.86,KY,2008
DXCCS4,486074,141259,670.00,172.50,1.00,167.82,KY,2008
DXCCS5,434762,192571,670.00,175.63,1.00,171.62,KY,2008
DXCCS6,381911,245422,670.00,177.23,1.00,172.78,KY,2008
DXCCS7,336572,290761,670.00,179.83,1.00,173.83,KY,2008
DXCCS8,293901,333432,670.00,181.95,1.00,174.41,KY,2008
DXCCS9,254341,372992,670.00,183.01,1.00,173.11,KY,2008
DXCCS10,215356,411977,670.00,184.71,1.00,173.04,KY,2008
DXCCS11,183656,443677,670.00,184.40,1.00,170.12,KY,2008
MDNUM1_R,600544,26789,30747.00,26970.52,22394.00,1973.30,KY,2008
MDNUM2_R,328126,299207,30091.00,26768.14,22394.00,1870.31,KY,2008
MEDINCSTQ,612771,14562,4.00,2.29,1.00,1.10,KY,2008
NDX,627333,0,25.00,8.16,1.00,5.45,KY,2008
NECODE,627333,0,8.00,0.14,0.00,0.43,KY,2008
NEOMAT,627333,0,2.00,0.26,0.00,0.60,KY,2008
NPR,627333,0,25.00,1.31,0.00,1.94,KY,2008
PAY1,627333,0,6.00,2.12,1.00,1.17,KY,2008
PAY2,264410,362923,6.00,2.74,1.00,1.08,KY,2008
PL_CBSA,626983,350,2.00,1.24,0.00,0.86,KY,2008
PL_MSA1993,626983,350,1.00,0.46,0.00,0.50,KY,2008
PL_NCHS2006,626983,350,6.00,3.86,1.00,1.86,KY,2008
PL_RUCA10_2005,612645,14688,10.00,4.29,1.00,3.38,KY,2008
PL_RUCA2005,612645,14688,10.60,4.37,1.00,3.48,KY,2008
PL_RUCA4_2005,612645,14688,4.00,2.02,1.00,1.12,KY,2008
PL_RUCC2003,626983,350,9.00,4.07,1.00,2.79,KY,2008
PL_UIC2003,626983,350,12.00,4.54,1.00,3.63,KY,2008
PL_UR_CAT4,626983,350,4.00,2.46,1.00,1.18,KY,2008
PRCCS1,333938,293395,231.00,118.98,1.00,61.50,KY,2008
PRCCS2,191737,435596,231.00,118.25,1.00,66.09,KY,2008
PRCCS3,109245,518088,231.00,109.71,1.00,67.21,KY,2008
PRCCS4,64682,562651,231.00,110.41,1.00,68.74,KY,2008
PRCCS5,42292,585041,231.00,108.64,1.00,71.78,KY,2008
PRDAY12,1856,625477,280.00,10.07,-3.00,14.93,KY,2008
PRDAY13,1349,625984,188.00,10.98,-4.00,14.73,KY,2008
PRDAY14,974,626359,152.00,11.83,-3.00,15.40,KY,2008
PRDAY15,722,626611,188.00,13.67,-2.00,16.51,KY,2008
PRDAY16,502,626831,117.00,14.51,-4.00,16.13,KY,2008
PRDAY17,398,626935,107.00,15.21,-1.00,16.13,KY,2008
PRDAY18,329,627004,135.00,16.25,-1.00,18.68,KY,2008
PRDAY19,254,627079,173.00,19.18,-1.00,22.15,KY,2008
PRDAY20,198,627135,133.00,21.35,-1.00,21.75,KY,2008
PRDAY21,152,627181,152.00,23.71,0.00,25.64,KY,2008
PRDAY22,105,627228,310.00,27.51,0.00,37.87,KY,2008
PRDAY23,78,627255,188.00,28.55,0.00,30.22,KY,2008
PRDAY24,60,627273,196.00,34.35,0.00,34.23,KY,2008
PRDAY25,44,627289,186.00,38.91,0.00,37.35,KY,2008
PROCTYPE,627333,0,1.00,0.53,0.00,0.50,KY,2008
PSTCO,626983,350,56041.00,21764.56,1003.00,4301.60,KY,2008
PSTCO2,626989,344,78030.00,21765.05,1003.00,4304.51,KY,2008
RACE,627333,0,6.00,1.30,1.00,1.01,KY,2008
ZIPINC_QRTL,612771,14562,4.00,1.71,1.00,0.91,KY,2008
AYEAR,627333,0,2008.00,2007.99,2007.00,0.11,KY,2008
DMONTH,627333,0,12.00,6.44,1.00,3.45,KY,2008
BMONTH,627333,0,12.00,6.51,1.00,3.44,KY,2008
BYEAR,627333,0,2008.00,1958.16,1901.00,26.77,KY,2008
PRMONTH1,333835,293498,12.00,6.51,1.00,3.46,KY,2008
