field,count,count_null,max,mean,min,stddev_samp,state,year
NEOMAT,788501,0,3.00,0.33,0.00,0.66,MA,2000
NPR,788501,0,15.00,1.36,0.00,1.72,MA,2000
PAY1,782823,5678,6.00,2.16,1.00,1.12,MA,2000
PAY2,357407,431094,6.00,2.74,1.00,0.95,MA,2000
PRCCS1,482918,305583,231.00,126.01,1.00,64.37,MA,2000
PRCCS2,267278,521223,231.00,126.46,1.00,66.28,MA,2000
PRCCS3,142285,646216,231.00,118.90,1.00,68.61,MA,2000
PRCCS4,72769,715732,231.00,122.27,1.00,72.78,MA,2000
PRCCS5,40825,747676,231.00,121.82,1.00,76.36,MA,2000
PRCCS6,23671,764830,231.00,129.31,1.00,78.59,MA,2000
PRCCS7,14163,774338,231.00,133.04,1.00,78.61,MA,2000
PRCCS8,9155,779346,231.00,137.41,1.00,78.43,MA,2000
PRCCS9,5479,783022,231.00,138.76,1.00,79.03,MA,2000
PRCCS10,3568,784933,231.00,142.10,1.00,78.63,MA,2000
PRCCS11,2263,786238,231.00,143.49,1.00,78.08,MA,2000
PRCCS12,1618,786883,231.00,139.69,2.00,79.47,MA,2000
PRCCS13,1175,787326,231.00,143.32,1.00,79.15,MA,2000
PRCCS14,875,787626,231.00,146.03,2.00,78.26,MA,2000
PRCCS15,695,787806,231.00,149.07,4.00,77.15,MA,2000
PRDAY1,482968,305533,360.00,1.22,-4.00,3.31,MA,2000
PRDAY2,267296,521205,213.00,1.52,-4.00,3.90,MA,2000
PRDAY3,142291,646210,218.00,2.05,-3.00,4.97,MA,2000
RACE,747001,41500,6.00,1.31,1.00,0.90,MA,2000
TOTCHG,784690,3811,995406.00,12827.94,29.00,24640.60,MA,2000
AYEAR,788501,0,2000.00,1999.99,1998.00,0.11,MA,2000
DMONTH,788501,0,12.00,6.44,1.00,3.44,MA,2000
PRMONTH1,482968,305533,12.00,6.48,1.00,3.41,MA,2000
PRMONTH2,267296,521205,12.00,6.49,1.00,3.42,MA,2000
PRMONTH3,142291,646210,12.00,6.48,1.00,3.43,MA,2000
PRYEAR1,482968,305533,2000.00,1999.99,1998.00,0.10,MA,2000
