field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,614600,188,118.00,47.26,0.00,27.20,MD,1998
AGEDAY,71420,543368,364.00,12.24,0.00,49.71,MD,1998
AGEMONTH,84880,529908,131.00,9.92,0.00,26.35,MD,1998
ASOURCE,608227,6561,5.00,3.10,1.00,1.88,MD,1998
ATYPE,612840,1948,6.00,1.95,1.00,1.22,MD,1998
AWEEKEND,614788,0,1.00,0.19,0.00,0.40,MD,1998
BWT,65198,549590,9005.00,3304.92,267.00,643.76,MD,1998
DaysBurnUnit,26170,588618,383.00,0.07,0.00,2.81,MD,1998
DaysCCU,45226,569562,349.00,1.32,0.00,3.82,MD,1998
DaysICU,73988,540800,267.00,2.34,0.00,5.05,MD,1998
DaysNICU,28506,586282,221.00,1.63,0.00,8.75,MD,1998
DaysPICU,28440,586348,107.00,0.33,0.00,2.46,MD,1998
DaysShockUnit,31671,583117,142.00,0.58,0.00,3.01,MD,1998
DIED,614505,283,1.00,0.02,0.00,0.15,MD,1998
DISPUNIFORM,614505,283,20.00,2.22,1.00,3.21,MD,1998
DQTR,614788,0,4.00,2.50,1.00,1.12,MD,1998
DRG,614788,0,511.00,263.98,1.00,143.80,MD,1998
DRG10,614788,0,492.00,257.35,1.00,139.23,MD,1998
DRG18,614788,0,511.00,263.96,1.00,143.84,MD,1998
DRGVER,614788,0,16.00,15.25,15.00,0.43,MD,1998
DXCCS1,614322,466,2621.00,144.51,1.00,65.73,MD,1998
DXCCS2,565285,49503,2621.00,151.05,1.00,263.12,MD,1998
DXCCS3,482101,132687,2621.00,172.77,1.00,369.13,MD,1998
DXCCS4,399051,215737,2621.00,195.01,1.00,445.16,MD,1998
DXCCS5,321679,293109,2621.00,218.25,1.00,507.49,MD,1998
DXCCS6,252773,362015,2621.00,239.65,1.00,555.71,MD,1998
DXCCS7,195133,419655,2621.00,262.61,1.00,601.79,MD,1998
DXCCS8,148146,466642,2621.00,287.45,1.00,645.73,MD,1998
DXCCS9,111031,503757,2621.00,321.38,1.00,698.79,MD,1998
DXCCS10,81980,532808,2621.00,347.59,1.00,736.68,MD,1998
DXCCS11,57424,557364,2621.00,385.50,1.00,786.40,MD,1998
DXCCS12,41667,573121,2621.00,416.99,1.00,823.72,MD,1998
DXCCS13,28438,586350,2621.00,425.63,1.00,833.91,MD,1998
DXCCS14,20720,594068,2621.00,490.37,1.00,901.27,MD,1998
DXCCS15,14204,600584,2621.00,713.19,1.00,1073.38,MD,1998
DXCCS16,2740,612048,2620.00,2614.58,2601.00,4.41,MD,1998
FEMALE,614697,91,1.00,0.59,0.00,0.49,MD,1998
LOS,614781,7,359.00,4.56,0.00,6.37,MD,1998
LOS_X,614788,0,867.00,4.57,0.00,6.57,MD,1998
MDC,614788,0,25.00,9.73,0.00,5.73,MD,1998
MDC10,614788,0,25.00,9.73,0.00,5.73,MD,1998
MDC18,614788,0,25.00,9.73,0.00,5.73,MD,1998
NDX,614788,0,16.00,5.43,0.00,3.43,MD,1998
NEOMAT,614788,0,3.00,0.33,0.00,0.66,MD,1998
NPR,614788,0,15.00,1.49,0.00,1.83,MD,1998
PAY1,614194,594,6.00,2.27,1.00,1.08,MD,1998
PAY2,489106,125682,6.00,3.49,1.00,0.76,MD,1998
PRCCS1,393047,221741,231.00,123.62,1.00,62.45,MD,1998
PRCCS2,228274,386514,231.00,129.37,1.00,65.54,MD,1998
PRCCS3,126518,488270,231.00,124.40,1.00,67.28,MD,1998
PRCCS4,66241,548547,231.00,131.94,1.00,70.35,MD,1998
PRCCS5,37448,577340,231.00,134.69,1.00,73.66,MD,1998
PRCCS6,22290,592498,231.00,138.85,1.00,74.87,MD,1998
PRCCS7,13905,600883,231.00,145.44,1.00,73.99,MD,1998
PRCCS8,9088,605700,231.00,148.33,1.00,73.58,MD,1998
PRCCS9,6088,608700,231.00,149.35,1.00,73.53,MD,1998
PRCCS10,4141,610647,231.00,149.24,1.00,73.56,MD,1998
PRCCS11,2645,612143,231.00,149.41,1.00,73.38,MD,1998
PRCCS12,1902,612886,231.00,153.09,1.00,72.79,MD,1998
PRCCS13,1199,613589,231.00,151.67,2.00,71.84,MD,1998
PRCCS14,868,613920,231.00,153.27,3.00,72.27,MD,1998
PRCCS15,632,614156,231.00,149.34,2.00,70.69,MD,1998
PRDAY1,384514,230274,349.00,1.30,-3.00,3.39,MD,1998
PRDAY2,223526,391262,349.00,1.56,-3.00,3.89,MD,1998
PRDAY3,124154,490634,352.00,2.08,-3.00,5.06,MD,1998
PRDAY4,65042,549746,253.00,2.89,-3.00,6.41,MD,1998
PRDAY5,36761,578027,229.00,3.99,-3.00,7.89,MD,1998
PRDAY6,21902,592886,319.00,5.19,-3.00,9.65,MD,1998
PRDAY7,13646,601142,319.00,6.55,-2.00,11.62,MD,1998
PRDAY8,8915,605873,339.00,7.84,-3.00,13.62,MD,1998
PRDAY9,5948,608840,346.00,9.09,-2.00,14.62,MD,1998
PRDAY10,4038,610750,349.00,10.20,-1.00,16.00,MD,1998
PRDAY11,2635,612153,333.00,11.79,-1.00,19.48,MD,1998
RACE,612820,1968,6.00,1.44,1.00,0.84,MD,1998
TOTCHG,613858,930,776039.00,7136.16,25.00,12553.75,MD,1998
