field,count,count_null,max,mean,min,stddev_samp,state,year
ADRG,155674,0,901.00,424.72,1.00,234.74,ME,2010
AHOUR,155674,0,2300.00,1235.35,0.00,617.59,ME,2010
AMDC,155674,0,25.00,10.09,0.00,6.01,ME,2010
AMONTH,155674,0,12.00,6.48,1.00,3.42,ME,2010
ATYPE,155504,170,5.00,2.02,1.00,0.96,ME,2010
AWEEKEND,155674,0,1.00,0.20,0.00,0.40,ME,2010
DHOUR,155674,0,2300.00,1326.26,0.00,289.05,ME,2010
DIED,155670,4,1.00,0.02,0.00,0.14,ME,2010
DISPUB04,155670,4,70.00,5.37,1.00,13.01,ME,2010
DISPUNIFORM,155670,4,99.00,2.84,1.00,3.30,ME,2010
DQTR,155674,0,4.00,2.50,1.00,1.11,ME,2010
DRG,155674,0,999.00,535.85,1.00,274.02,ME,2010
DRG24,155674,0,579.00,314.06,1.00,166.61,ME,2010
DRGVER,155674,0,28.00,27.25,27.00,0.43,ME,2010
DRG_NoPOA,155674,0,999.00,535.85,1.00,274.02,ME,2010
DXCCS1,155661,13,670.00,200.48,1.00,160.80,ME,2010
DXCCS2,150158,5516,670.00,193.46,1.00,184.13,ME,2010
DXCCS3,140816,14858,670.00,198.07,1.00,187.14,ME,2010
DXCCS4,130539,25135,670.00,197.90,1.00,185.58,ME,2010
DXCCS5,120087,35587,670.00,187.04,1.00,182.23,ME,2010
DXCCS6,109198,46476,670.00,183.28,1.00,181.65,ME,2010
DXCCS7,98151,57523,670.00,180.10,1.00,178.55,ME,2010
DXCCS8,86407,69267,670.00,171.09,1.00,171.24,ME,2010
DXCCS9,71968,83706,670.00,166.13,2.00,154.05,ME,2010
DXCCS10,58,155616,662.00,200.29,3.00,193.40,ME,2010
E_CCS2,7390,148284,2621.00,2538.13,662.00,381.28,ME,2010
E_CCS3,1405,154269,2621.00,2572.18,662.00,296.40,ME,2010
E_CCS4,264,155410,2621.00,2588.51,662.00,239.45,ME,2010
E_CCS5,26,155648,2621.00,2543.35,662.00,383.75,ME,2010
E_CCS6,3,155671,2621.00,2619.67,2617.00,2.31,ME,2010
FEMALE,155665,9,1.00,0.55,0.00,0.50,ME,2010
HCUP_ED,155674,0,4.00,0.53,0.00,0.71,ME,2010
HCUP_OS,155674,0,1.00,0.04,0.00,0.19,ME,2010
HOSPBRTH,155674,0,1.00,0.08,0.00,0.27,ME,2010
LOS,155668,6,364.00,4.66,0.00,7.25,ME,2010
MDC,155674,0,25.00,10.07,0.00,6.01,ME,2010
MDC24,155674,0,25.00,10.08,0.00,6.01,ME,2010
MDC_NoPOA,155674,0,25.00,10.07,0.00,6.01,ME,2010
MEDINCSTQ,152165,3509,4.00,2.34,1.00,1.09,ME,2010
MRN_R,155674,0,2884348.00,1565946.58,36.00,978789.48,ME,2010
NCHRONIC,155674,0,9.00,3.51,0.00,2.33,ME,2010
NDX,155674,0,10.00,6.83,0.00,2.59,ME,2010
NECODE,155674,0,6.00,0.25,0.00,0.57,ME,2010
NEOMAT,155674,0,2.00,0.26,0.00,0.60,ME,2010
NPR,155674,0,6.00,1.24,0.00,1.58,ME,2010
ORPROC,155674,0,1.00,0.28,0.00,0.45,ME,2010
PAY1,155606,68,6.00,2.03,1.00,1.21,ME,2010
PAY2,83743,71931,6.00,2.08,1.00,1.14,ME,2010
PAY3,36441,119233,6.00,2.71,1.00,1.03,ME,2010
PL_CBSA,155505,169,2.00,1.25,0.00,0.90,ME,2010
PL_MSA1993,155505,169,1.00,0.56,0.00,0.50,ME,2010
PL_NCHS2006,155505,169,6.00,4.38,1.00,1.28,ME,2010
PL_RUCA4_2005,152018,3656,4.00,2.09,1.00,1.21,ME,2010
PL_UIC2003,155505,169,12.00,4.18,1.00,2.88,ME,2010
PL_UR_CAT4,155505,169,4.00,2.73,1.00,0.92,ME,2010
PRCCS1,86500,69174,231.00,125.68,1.00,62.09,ME,2010
PRCCS2,48449,107225,231.00,120.40,1.00,70.09,ME,2010
PRCCS3,27004,128670,231.00,113.47,1.00,68.78,ME,2010
PRCCS4,15043,140631,231.00,111.68,1.00,69.94,ME,2010
PRCCS5,9312,146362,231.00,101.21,1.00,68.68,ME,2010
PRCCS6,6454,149220,231.00,89.01,1.00,58.65,ME,2010
PRDAY1,86502,69172,306.00,1.20,-4.00,3.19,ME,2010
PRDAY2,48450,107224,306.00,1.50,-3.00,3.85,ME,2010
PRDAY3,27004,128670,306.00,1.82,-3.00,4.68,ME,2010
PRDAY4,15043,140631,306.00,2.27,-3.00,5.84,ME,2010
PRDAY5,7856,147818,306.00,2.56,-3.00,6.88,ME,2010
PRDAY6,6454,149220,306.00,2.85,-3.00,6.83,ME,2010
PROCTYPE,155674,0,1.00,0.56,0.00,0.50,ME,2010
PSTCO,136429,19245,55000.00,23109.26,1000.00,1293.93,ME,2010
PSTCO2,155505,169,56025.00,23166.20,1003.00,1947.85,ME,2010
RACE,153418,2256,6.00,1.09,1.00,0.57,ME,2010
TRAN_IN,155341,333,2.00,0.16,0.00,0.43,ME,2010
TRAN_OUT,155670,4,2.00,0.34,0.00,0.73,ME,2010
YEAR,155674,0,2010.00,2010.00,2010.00,0.00,ME,2010
ZIPINC_QRTL,152165,3509,4.00,1.98,1.00,0.94,ME,2010
HOSPID,155674,0,23242.00,23218.50,23201.00,10.58,ME,2010
