field,count,count_null,max,mean,min,stddev_samp,state,year
HOSPID,1284536,2778,26161.00,26076.28,26002.00,51.79,MI,2003
ADRG,1287314,0,956.00,381.63,1.00,232.03,MI,2003
ADRGRISKMORTALITY,1287314,0,4.00,1.52,0.00,0.79,MI,2003
ADRGSEV,1287314,0,4.00,1.86,0.00,0.86,MI,2003
AGE,1287242,72,109.00,48.84,0.00,27.58,MI,2003
AGEDAY,145676,1141638,364.00,15.01,0.00,55.07,MI,2003
AGEMONTH,176746,1110568,131.00,10.27,0.00,26.04,MI,2003
AMONTH,1287314,0,12.00,6.50,1.00,3.44,MI,2003
ASOURCE,1190837,96477,5.00,3.13,1.00,1.95,MI,2003
ATYPE,1252070,35244,4.00,1.97,1.00,1.02,MI,2003
AWEEKEND,1287313,1,1.00,0.19,0.00,0.39,MI,2003
DaysCCU,1287313,1,79.00,0.04,0.00,0.60,MI,2003
DaysICU,1287309,5,99.00,0.11,0.00,1.42,MI,2003
DIED,1286698,616,1.00,0.02,0.00,0.14,MI,2003
DISPUB92,1286698,616,72.00,3.60,1.00,9.49,MI,2003
DISPUNIFORM,1286698,616,20.00,2.38,1.00,3.15,MI,2003
DQTR,1287314,0,4.00,2.50,1.00,1.12,MI,2003
DRG,1287314,0,540.00,274.94,1.00,148.11,MI,2003
DRG18,1287314,0,511.00,258.76,1.00,142.97,MI,2003
DRGVER,1287314,0,21.00,20.25,20.00,0.43,MI,2003
DXCCS1,1286737,577,259.00,147.91,1.00,64.16,MI,2003
DXCCS2,1172264,115050,259.00,125.46,1.00,62.78,MI,2003
DXCCS3,1032126,255188,259.00,120.02,1.00,62.36,MI,2003
DXCCS4,899461,387853,259.00,116.26,1.00,62.28,MI,2003
DXCCS5,764383,522931,259.00,114.51,1.00,62.61,MI,2003
DXCCS6,642391,644923,259.00,113.91,1.00,63.09,MI,2003
DXCCS7,531880,755434,259.00,114.01,1.00,63.58,MI,2003
DXCCS8,429216,858098,259.00,114.54,1.00,64.40,MI,2003
DXCCS9,346868,940446,259.00,115.28,1.00,64.99,MI,2003
DXCCS10,274219,1013095,259.00,115.92,1.00,65.64,MI,2003
DXCCS11,203912,1083402,259.00,116.72,1.00,66.35,MI,2003
DXCCS12,155888,1131426,259.00,117.56,1.00,67.28,MI,2003
DXCCS13,122238,1165076,259.00,118.19,1.00,68.01,MI,2003
DXCCS14,94159,1193155,259.00,118.90,1.00,68.79,MI,2003
DXCCS15,69614,1217700,259.00,120.40,1.00,69.95,MI,2003
DXCCS16,45730,1241584,259.00,122.46,1.00,70.97,MI,2003
DXCCS17,35003,1252311,259.00,123.79,1.00,72.20,MI,2003
DXCCS18,27526,1259788,259.00,123.89,1.00,72.45,MI,2003
DXCCS19,21414,1265900,259.00,125.03,1.00,73.40,MI,2003
DXCCS20,16436,1270878,259.00,125.58,1.00,73.86,MI,2003
DXCCS21,12589,1274725,259.00,125.97,1.00,74.59,MI,2003
DXCCS22,9884,1277430,259.00,126.18,1.00,75.11,MI,2003
DXCCS23,7781,1279533,259.00,126.41,1.00,75.11,MI,2003
DXCCS24,6061,1281253,259.00,126.28,1.00,75.09,MI,2003
DXCCS25,4570,1282744,259.00,127.78,1.00,76.57,MI,2003
DXCCS26,3277,1284037,259.00,128.74,2.00,76.58,MI,2003
DXCCS27,2573,1284741,259.00,129.91,1.00,77.67,MI,2003
DXCCS28,1947,1285367,259.00,128.07,1.00,76.93,MI,2003
DXCCS29,1423,1285891,259.00,126.99,2.00,78.10,MI,2003
DXCCS30,850,1286464,259.00,134.80,3.00,80.33,MI,2003
E_CCS1,163066,1124248,2621.00,2612.62,2601.00,5.83,MI,2003
E_CCS2,55324,1231990,2621.00,2619.24,2601.00,3.88,MI,2003
E_CCS3,6180,1281134,2621.00,2616.74,2601.00,4.57,MI,2003
E_CCS4,1269,1286045,2621.00,2617.90,2601.00,4.33,MI,2003
E_CCS5,181,1287133,2621.00,2616.90,2601.00,4.31,MI,2003
E_CCS6,22,1287292,2621.00,2616.59,2603.00,4.49,MI,2003
E_CCS7,3,1287311,2619.00,2615.67,2613.00,3.06,MI,2003
LOS,1287279,35,347.00,4.63,0.00,6.41,MI,2003
LOS_X,1287314,0,1734.00,4.65,-1.00,8.34,MI,2003
MDC,1287314,0,25.00,9.52,0.00,5.65,MI,2003
MDC18,1287314,0,25.00,9.53,0.00,5.64,MI,2003
MDNUM1_R,1205671,81643,8616.00,3918.80,1.00,2654.83,MI,2003
MDNUM2_R,724514,562800,10641.00,4039.67,1.00,2755.56,MI,2003
MRN_R,1276755,10559,888520.00,442419.43,1.00,257717.06,MI,2003
NDX,1287314,0,30.00,6.39,0.00,4.40,MI,2003
NECODE,1287314,0,8.00,0.18,0.00,0.51,MI,2003
NEOMAT,1287314,0,3.00,0.31,0.00,0.65,MI,2003
NPR,1287314,0,30.00,1.60,0.00,2.08,MI,2003
PAY1,1286657,657,6.00,2.14,1.00,1.08,MI,2003
PAY2,464330,822984,6.00,2.74,1.00,1.13,MI,2003
PL_CBSA,1284971,2343,2.00,1.74,0.00,0.60,MI,2003
PL_MSA1993,1284971,2343,1.00,0.83,0.00,0.38,MI,2003
PL_RUCA,1276583,10731,10.50,2.42,1.00,2.77,MI,2003
PL_RUCA10,1276583,10731,10.00,2.40,1.00,2.71,MI,2003
PL_RUCA4,1276583,10731,4.00,1.38,1.00,0.87,MI,2003
PL_RUCC2003,1284973,2341,9.00,2.36,1.00,1.93,MI,2003
PL_UIC2003,1284973,2341,12.00,2.49,1.00,2.55,MI,2003
PL_UR_CAT4,1284973,2341,4.00,1.78,1.00,0.93,MI,2003
PL_UR_CAT5,1284973,2341,5.00,1.82,1.00,1.04,MI,2003
