field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,389803,25,110.00,49.66,0.00,26.78,MS,2011
AGEDAY,32359,357469,364.00,23.56,0.00,68.81,MS,2011
AGEMONTH,43648,346180,131.00,14.79,0.00,29.99,MS,2011
AHOUR,389826,2,2300.00,1237.43,0.00,600.32,MS,2011
AMONTH,389827,1,12.00,6.48,1.00,3.47,MS,2011
ASOURCE,133378,256450,5.00,4.58,1.00,1.00,MS,2011
ATYPE,386346,3482,5.00,2.03,1.00,1.03,MS,2011
AWEEKEND,389809,19,1.00,0.18,0.00,0.39,MS,2011
DHOUR,389828,0,2300.00,1319.92,0.00,380.79,MS,2011
DIED,389786,42,1.00,0.02,0.00,0.15,MS,2011
DISPUB04,389786,42,99.00,6.12,1.00,14.93,MS,2011
DISPUNIFORM,389786,42,99.00,2.73,1.00,5.16,MS,2011
DQTR,389828,0,4.00,2.49,1.00,1.12,MS,2011
DRG,389828,0,999.00,537.31,2.00,281.93,MS,2011
DRG24,389828,0,579.00,301.39,1.00,163.33,MS,2011
DRGVER,389828,0,29.00,28.25,28.00,0.43,MS,2011
DRG_NoPOA,389828,0,999.00,528.27,2.00,277.27,MS,2011
DXCCS1,389708,120,670.00,187.93,1.00,151.83,MS,2011
DXCCS2,372094,17734,670.00,171.90,1.00,159.73,MS,2011
DXCCS3,336827,53001,670.00,170.67,1.00,161.09,MS,2011
DXCCS4,300494,89334,670.00,168.91,1.00,163.51,MS,2011
DXCCS5,265851,123977,670.00,168.73,1.00,165.01,MS,2011
DXCCS6,233576,156252,670.00,170.47,1.00,166.70,MS,2011
DXCCS7,203504,186324,670.00,172.41,1.00,167.27,MS,2011
DXCCS8,175889,213939,670.00,173.98,1.00,165.51,MS,2011
DXCCS9,150762,239066,670.00,175.36,1.00,164.76,MS,2011
DXCCS10,127238,262590,670.00,177.03,1.00,164.40,MS,2011
DXCCS11,106680,283148,670.00,178.17,1.00,163.15,MS,2011
DaysToEvent,331091,58737,18990.00,15789.21,10449.00,1737.99,MS,2011
E_CCS1,33940,355888,2621.00,2542.17,662.00,364.34,MS,2011
E_CCS2,3586,386242,2621.00,2560.24,662.00,318.29,MS,2011
E_CCS3,752,389076,2621.00,2546.59,662.00,370.88,MS,2011
E_CCS4,102,389726,2621.00,2521.96,662.00,424.39,MS,2011
E_CCS5,32,389796,2621.00,2619.09,2603.00,3.53,MS,2011
E_CCS6,5,389823,2620.00,2611.20,2603.00,7.89,MS,2011
HCUP_ED,389828,0,4.00,0.46,0.00,0.51,MS,2011
HCUP_OS,389828,0,1.00,0.05,0.00,0.21,MS,2011
HCUP_SURGERY_BROAD,389828,0,1.00,0.30,0.00,0.46,MS,2011
HCUP_SURGERY_NARROW,389828,0,1.00,0.24,0.00,0.43,MS,2011
HOSPBRTH,389828,0,1.00,0.07,0.00,0.25,MS,2011
LOS,389774,54,365.00,5.20,0.00,7.36,MS,2011
LOS_X,389827,1,3574.00,5.32,-364.00,17.45,MS,2011
MDC,389828,0,25.00,9.61,0.00,5.98,MS,2011
MDC24,389828,0,25.00,9.82,0.00,5.91,MS,2011
MDC_NoPOA,389828,0,25.00,9.83,0.00,5.91,MS,2011
MDNUM1_R,389827,1,11891.00,1593.55,1.00,1315.40,MS,2011
MDNUM2_R,36861,352967,6891.00,2444.51,3.00,1869.18,MS,2011
MEDINCSTQ,380908,8920,4.00,2.36,1.00,1.10,MS,2011
MRN_R,386693,3135,588198.00,403647.23,2.00,141796.20,MS,2011
NCHRONIC,389828,0,11.00,3.41,0.00,2.61,MS,2011
NDX,389828,0,11.00,6.83,1.00,3.42,MS,2011
NECODE,389828,0,7.00,0.10,0.00,0.35,MS,2011
NEOMAT,389828,0,3.00,0.25,0.00,0.57,MS,2011
NPR,389828,0,6.00,1.06,0.00,1.42,MS,2011
ORPROC,389828,0,1.00,0.24,0.00,0.43,MS,2011
OS_TIME,389828,0,999.00,0.34,0.00,3.73,MS,2011
