field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,1120293,20,110.00,47.27,0.00,27.63,NC,2007
AGEDAY,140908,979405,364.00,11.88,0.00,48.73,NC,2007
AGEMONTH,164297,956016,131.00,8.39,0.00,24.00,NC,2007
AMONTH,1120313,0,12.00,6.44,1.00,3.45,NC,2007
ASOURCE,880896,239417,5.00,3.15,1.00,1.96,NC,2007
ATYPE,1119995,318,5.00,2.00,1.00,1.04,NC,2007
AWEEKEND,1120313,0,1.00,0.20,0.00,0.40,NC,2007
BWT,34500,1085813,8249.00,3178.08,244.00,675.17,NC,2007
DIED,1120313,0,1.00,0.02,0.00,0.15,NC,2007
DISPUB04,1120313,0,66.00,3.91,1.00,10.19,NC,2007
DISPUNIFORM,1120313,0,99.00,2.45,1.00,3.29,NC,2007
DQTR,1120313,0,4.00,2.49,1.00,1.12,NC,2007
DRG,1120313,0,989.00,365.34,1.00,216.89,NC,2007
DRG24,1120313,0,579.00,309.14,1.00,160.22,NC,2007
DRGVER,1120313,0,25.00,24.25,24.00,0.43,NC,2007
DXCCS1,1120312,1,670.00,180.44,1.00,132.41,NC,2007
DXCCS2,1067493,52820,670.00,164.96,1.00,146.46,NC,2007
DXCCS3,956216,164097,670.00,168.88,1.00,154.75,NC,2007
DXCCS4,851011,269302,670.00,168.97,1.00,158.78,NC,2007
DXCCS5,754802,365511,670.00,171.00,1.00,163.08,NC,2007
DXCCS6,665310,455003,670.00,173.39,1.00,166.29,NC,2007
DXCCS7,581600,538713,670.00,175.10,1.00,167.97,NC,2007
DXCCS8,502790,617523,670.00,177.74,1.00,169.69,NC,2007
DXCCS9,421532,698781,670.00,178.40,1.00,169.16,NC,2007
DXCCS10,19099,1101214,670.00,177.04,1.00,160.28,NC,2007
DXCCS11,17460,1102853,670.00,178.99,1.00,160.19,NC,2007
DXCCS12,15722,1104591,670.00,182.22,1.00,162.60,NC,2007
DXCCS13,14019,1106294,670.00,181.72,1.00,160.31,NC,2007
DXCCS14,12174,1108139,670.00,181.72,1.00,158.49,NC,2007
DXCCS15,9376,1110937,670.00,182.57,1.00,159.79,NC,2007
DXCCS16,1734,1118579,670.00,184.42,2.00,176.86,NC,2007
DXCCS17,1523,1118790,670.00,182.09,1.00,175.85,NC,2007
DXCCS18,3,1120310,151.00,126.00,99.00,26.06,NC,2007
DXCCS19,3,1120310,158.00,136.33,106.00,27.06,NC,2007
DXCCS20,3,1120310,244.00,168.00,49.00,104.37,NC,2007
DXCCS21,3,1120310,663.00,240.67,4.00,366.64,NC,2007
DXCCS22,3,1120310,138.00,80.67,3.00,69.76,NC,2007
DXCCS23,3,1120310,143.00,101.00,59.00,42.00,NC,2007
DXCCS24,3,1120310,155.00,136.00,115.00,20.07,NC,2007
E_CCS1,179265,941048,2621.00,2543.17,662.00,363.38,NC,2007
E_CCS2,19850,1100463,2621.00,2530.34,662.00,394.26,NC,2007
E_CCS3,2969,1117344,2621.00,2430.83,662.00,569.79,NC,2007
E_CCS4,295,1120018,2621.00,2297.14,662.00,722.07,NC,2007
E_CCS5,48,1120265,2621.00,2290.13,662.00,735.84,NC,2007
E_CCS6,5,1120308,2621.00,2226.80,662.00,874.75,NC,2007
HCUP_ED,1120313,0,4.00,0.55,0.00,0.74,NC,2007
HCUP_OS,1120313,0,1.00,0.02,0.00,0.15,NC,2007
HOSPBRTH,1120313,0,1.00,0.11,0.00,0.31,NC,2007
LOS,1120313,0,307.00,4.69,0.00,6.13,NC,2007
LOS_X,1120313,0,307.00,4.69,0.00,6.13,NC,2007
MDC,1120313,0,25.00,9.91,0.00,5.65,NC,2007
MDC24,1120313,0,25.00,9.91,0.00,5.65,NC,2007
MEDINCSTQ,1088836,31477,4.00,2.33,1.00,1.11,NC,2007
NDX,1120313,0,24.00,6.26,1.00,2.94,NC,2007
NECODE,1120313,0,7.00,0.18,0.00,0.44,NC,2007
NEOMAT,1120313,0,3.00,0.36,0.00,0.68,NC,2007
NPR,1120313,0,6.00,1.42,0.00,1.65,NC,2007
PAY1,1103175,17138,6.00,2.18,1.00,1.16,NC,2007
PAY2,599424,520889,6.00,2.80,1.00,1.60,NC,2007
PL_CBSA,1112484,7829,2.00,1.56,0.00,0.66,NC,2007
PL_MSA1993,1112484,7829,1.00,0.64,0.00,0.48,NC,2007
PL_NCHS2006,1112484,7829,6.00,3.65,1.00,1.38,NC,2007
PL_RUCA10_2005,1087836,32477,10.00,2.95,1.00,2.67,NC,2007
PL_RUCA2005,1087836,32477,10.60,2.98,1.00,2.73,NC,2007
PL_RUCA4_2005,1087836,32477,4.00,1.55,1.00,0.87,NC,2007
PL_RUCC2003,1112484,7829,9.00,3.05,1.00,1.87,NC,2007
PL_UIC2003,1112484,7829,12.00,3.12,1.00,2.26,NC,2007
PL_UR_CAT4,1112484,7829,4.00,2.29,1.00,0.83,NC,2007
PRCCS2,395933,724380,231.00,125.28,1.00,66.61,NC,2007
PRCCS3,229241,891072,231.00,120.74,1.00,67.81,NC,2007
PRCCS4,132011,988302,231.00,123.54,1.00,70.32,NC,2007
PRCCS5,81608,1038705,231.00,122.16,1.00,74.41,NC,2007
PRCCS6,54806,1065507,231.00,118.69,1.00,75.09,NC,2007
PRDAY1,695436,424877,304.00,1.32,-4.00,3.25,NC,2007
PRDAY2,395912,724401,130.00,1.58,-4.00,3.72,NC,2007
PRDAY3,229231,891082,150.00,2.00,-4.00,4.45,NC,2007
PRDAY4,132004,988309,145.00,2.56,-4.00,5.42,NC,2007
PRDAY5,81607,1038706,145.00,3.18,-4.00,6.38,NC,2007
PRDAY6,54805,1065508,145.00,3.76,-3.00,7.28,NC,2007
PROCTYPE,1120313,0,1.00,0.62,0.00,0.49,NC,2007
PSTCO,1116536,3777,37840.00,37104.44,37001.00,62.65,NC,2007
PSTCO2,1116574,3739,78030.00,37105.72,37001.00,230.35,NC,2007
RACE,655484,464829,6.00,1.66,1.00,1.38,NC,2007
TOTCHG,1119987,326,499213.93,18620.50,102.25,28352.79,NC,2007
TOTCHG_X,1120031,282,499213.93,18619.77,0.01,28352.47,NC,2007
YEAR,1120313,0,2007.00,2007.00,2007.00,0.00,NC,2007
ZIPINC_QRTL,1088836,31477,4.00,1.98,1.00,0.95,NC,2007
AYEAR,1120313,0,2007.00,2006.99,2006.00,0.11,NC,2007
DMONTH,1120313,0,12.00,6.45,1.00,3.45,NC,2007
BMONTH,1120313,0,12.00,6.54,1.00,3.43,NC,2007
BYEAR,1120313,0,2007.00,1959.27,1897.00,27.74,NC,2007
