field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,212603,18,108.00,48.29,0.00,29.27,NE,2006
AGEDAY,28926,183695,364.00,13.48,0.00,52.89,NE,2006
AGEMONTH,33828,178793,131.00,8.36,0.00,23.92,NE,2006
AMONTH,212621,0,12.00,6.46,1.00,3.46,NE,2006
ASOURCE,210631,1990,5.00,3.75,1.00,1.82,NE,2006
ATYPE,212337,284,5.00,2.38,1.00,0.99,NE,2006
AWEEKEND,212621,0,1.00,0.17,0.00,0.38,NE,2006
DIED,212609,12,1.00,0.02,0.00,0.13,NE,2006
DISPUB92,212609,12,66.00,4.82,1.00,12.79,NE,2006
DISPUNIFORM,212609,12,99.00,2.36,1.00,3.06,NE,2006
DQTR,212621,0,4.00,2.49,1.00,1.12,NE,2006
DRG,212621,0,579.00,305.37,1.00,154.75,NE,2006
DRG18,212621,0,511.00,266.60,1.00,139.45,NE,2006
DRG24,212621,0,579.00,314.08,1.00,158.38,NE,2006
DRGVER,212621,0,24.00,23.25,23.00,0.43,NE,2006
DXCCS1,212615,6,259.00,152.75,1.00,63.14,NE,2006
DXCCS2,194157,18464,259.00,130.96,1.00,65.93,NE,2006
DXCCS3,170100,42521,259.00,126.19,1.00,66.07,NE,2006
DXCCS4,148137,64484,259.00,123.93,1.00,66.78,NE,2006
DXCCS5,127474,85147,259.00,123.20,1.00,68.07,NE,2006
DXCCS6,108592,104029,259.00,123.27,1.00,69.05,NE,2006
DXCCS7,91609,121012,259.00,124.05,1.00,70.65,NE,2006
DXCCS8,75610,137011,259.00,125.66,1.00,72.05,NE,2006
DXCCS9,59797,152824,259.00,126.28,1.00,73.30,NE,2006
E_CCS1,34347,178274,2621.00,2613.08,2601.00,5.80,NE,2006
E_CCS2,7743,204878,2621.00,2616.88,2601.00,5.53,NE,2006
E_CCS3,1423,211198,2621.00,2618.97,2601.00,3.92,NE,2006
E_CCS4,146,212475,2621.00,2617.54,2603.00,4.14,NE,2006
E_CCS5,12,212609,2621.00,2617.17,2613.00,2.12,NE,2006
E_CCS6,2,212619,2621.00,2619.00,2617.00,2.83,NE,2006
FEMALE,212113,508,1.00,0.60,0.00,0.49,NE,2006
HCUP_ED,212621,0,4.00,0.42,0.00,0.77,NE,2006
HCUP_OS,212621,0,1.00,0.03,0.00,0.16,NE,2006
