field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,216141,36,107.00,47.39,0.00,29.14,NE,2009
AGEDAY,30183,185994,364.00,12.15,0.00,49.81,NE,2009
AGEMONTH,35188,180989,131.00,8.42,0.00,24.09,NE,2009
AHOUR,216076,101,2359.00,1228.05,0.00,590.37,NE,2009
AMONTH,216177,0,12.00,6.50,1.00,3.44,NE,2009
ATYPE,215908,269,6.00,2.31,1.00,1.04,NE,2009
AWEEKEND,216177,0,1.00,0.18,0.00,0.38,NE,2009
BLOOD,2735,213442,750.00,6.17,0.00,17.77,NE,2009
DHOUR,216165,12,2359.00,1352.80,0.00,303.68,NE,2009
DIED,216143,34,1.00,0.02,0.00,0.13,NE,2009
DISPUB04,216144,33,71.00,5.15,1.00,13.40,NE,2009
DISPUNIFORM,216143,34,99.00,2.41,1.00,3.30,NE,2009
DQTR,216177,0,4.00,2.50,1.00,1.12,NE,2009
DRG,216177,0,999.00,551.24,1.00,269.94,NE,2009
DRG24,216177,0,579.00,318.53,1.00,157.81,NE,2009
DRGVER,216177,0,27.00,26.25,26.00,0.43,NE,2009
DRG_NoPOA,216177,0,999.00,545.87,1.00,267.65,NE,2009
DXCCS1,216168,9,670.00,186.48,1.00,130.62,NE,2009
DXCCS2,201621,14556,670.00,173.67,1.00,147.49,NE,2009
DXCCS3,180610,35567,670.00,171.07,1.00,153.91,NE,2009
DXCCS4,161982,54195,670.00,170.22,1.00,157.99,NE,2009
DXCCS5,144464,71713,670.00,170.74,1.00,160.70,NE,2009
DXCCS6,128046,88131,670.00,172.62,1.00,162.84,NE,2009
DXCCS7,112908,103269,670.00,175.02,1.00,164.12,NE,2009
DXCCS8,98639,117538,670.00,177.11,1.00,165.07,NE,2009
DXCCS9,84077,132100,670.00,180.23,1.00,165.96,NE,2009
DaysToEvent,216137,40,18255.00,15059.75,11857.00,1741.50,NE,2009
E_CCS1,37997,178180,2621.00,2548.59,662.00,349.30,NE,2009
E_CCS2,4297,211880,2621.00,2550.38,662.00,349.19,NE,2009
E_CCS3,1066,215111,2621.00,2558.67,662.00,339.18,NE,2009
E_CCS4,116,216061,2621.00,2584.53,662.00,255.78,NE,2009
E_CCS5,17,216160,2621.00,2619.29,2614.00,2.08,NE,2009
HCUP_ED,216177,0,4.00,0.42,0.00,0.77,NE,2009
HCUP_OS,216177,0,1.00,0.03,0.00,0.17,NE,2009
HOSPBRTH,216177,0,1.00,0.12,0.00,0.33,NE,2009
LOS,216177,0,341.00,4.35,0.00,6.14,NE,2009
LOS_X,216177,0,341.00,4.35,0.00,6.14,NE,2009
MDC,216177,0,24.00,10.00,0.00,5.63,NE,2009
MDC24,216177,0,24.00,10.11,0.00,5.58,NE,2009
MEDINCSTQ,214335,1842,4.00,2.38,1.00,1.11,NE,2009
NCHRONIC,216177,0,9.00,2.87,0.00,2.37,NE,2009
NDX,216177,0,9.00,6.15,1.00,2.87,NE,2009
NECODE,216177,0,6.00,0.20,0.00,0.47,NE,2009
NEOMAT,216177,0,3.00,0.39,0.00,0.70,NE,2009
NPR,216177,0,6.00,1.49,0.00,1.75,NE,2009
ORPROC,216177,0,1.00,0.34,0.00,0.47,NE,2009
PAY1,216177,0,6.00,2.17,1.00,1.12,NE,2009
PAY2,86834,129343,6.00,2.80,1.00,0.92,NE,2009
PL_CBSA,215996,181,2.00,1.34,0.00,0.81,NE,2009
PL_MSA1993,215996,181,1.00,0.53,0.00,0.50,NE,2009
PL_NCHS2006,215996,181,6.00,4.11,1.00,1.29,NE,2009
PL_RUCA10_2005,214326,1851,10.00,3.75,1.00,3.33,NE,2009
PL_RUCA2005,214326,1851,10.60,3.81,1.00,3.42,NE,2009
PL_RUCA4_2005,214326,1851,4.00,1.87,1.00,1.11,NE,2009
PL_RUCC2003,215996,181,9.00,3.99,1.00,2.46,NE,2009
PL_UIC2003,215996,181,12.00,4.89,1.00,3.48,NE,2009
PL_UR_CAT4,215996,181,4.00,2.66,1.00,0.82,NE,2009
PRCCS1,131184,84993,231.00,120.27,1.00,57.63,NE,2009
PRCCS2,79486,136691,231.00,119.87,1.00,66.39,NE,2009
PRCCS3,49209,166968,231.00,117.92,1.00,67.95,NE,2009
PRCCS4,30202,185975,231.00,120.47,1.00,69.67,NE,2009
PRCCS5,19396,196781,231.00,121.80,1.00,72.63,NE,2009
PRCCS6,12861,203316,231.00,121.49,1.00,74.62,NE,2009
PRDAY1,131154,85023,129.00,1.06,-4.00,2.77,NE,2009
PRDAY2,79453,136724,122.00,1.22,-4.00,3.44,NE,2009
PRDAY3,49187,166990,132.00,1.47,-4.00,3.78,NE,2009
PRDAY4,30188,185989,132.00,1.83,-4.00,4.66,NE,2009
PRDAY5,19391,196786,157.00,2.34,-4.00,5.88,NE,2009
PRDAY6,12856,203321,134.00,2.80,-3.00,6.25,NE,2009
PROCTYPE,216177,0,1.00,0.61,0.00,0.49,NE,2009
PSTCO2,215996,181,56045.00,30431.29,1003.00,3644.20,NE,2009
TRAN_OUT,216143,34,2.00,0.32,0.00,0.72,NE,2009
