field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,1133570,11,124.00,49.57,0.00,27.93,NJ,2006
AGEDAY,126211,1007370,364.00,15.16,0.00,55.75,NJ,2006
AGEMONTH,154142,979439,131.00,10.25,0.00,25.71,NJ,2006
AMONTH,1133581,0,12.00,6.47,1.00,3.44,NJ,2006
APGAR5,105630,1027951,10.00,8.81,0.00,1.07,NJ,2006
ASOURCE,1128308,5273,5.00,2.68,1.00,1.93,NJ,2006
ATYPE,1133581,0,5.00,1.92,1.00,1.09,NJ,2006
AWEEKEND,1133581,0,1.00,0.19,0.00,0.40,NJ,2006
BWT,114729,1018852,9000.00,3262.11,230.00,615.39,NJ,2006
DIED,1133581,0,1.00,0.02,0.00,0.15,NJ,2006
DISPUB92,1133581,0,66.00,4.23,1.00,11.16,NJ,2006
DISPUNIFORM,1133581,0,20.00,2.52,1.00,3.24,NJ,2006
DNR,499292,634289,1.00,0.04,0.00,0.19,NJ,2006
DQTR,1133581,0,4.00,2.49,1.00,1.12,NJ,2006
DRG,1133581,0,579.00,289.85,1.00,155.04,NJ,2006
DRG18,1133581,0,511.00,256.63,1.00,139.57,NJ,2006
DRG24,1133581,0,579.00,300.16,1.00,160.36,NJ,2006
DRGVER,1133581,0,24.00,23.25,23.00,0.43,NJ,2006
DXCCS1,1133581,0,259.00,142.24,1.00,64.06,NJ,2006
DXCCS2,1051353,82228,259.00,122.82,1.00,64.65,NJ,2006
DXCCS3,917339,216242,259.00,119.03,1.00,63.55,NJ,2006
DXCCS4,797493,336088,259.00,116.36,1.00,63.44,NJ,2006
DXCCS5,685205,448376,259.00,115.00,1.00,63.86,NJ,2006
DXCCS6,582103,551478,259.00,114.64,1.00,64.63,NJ,2006
DXCCS7,489565,644016,259.00,114.70,1.00,65.47,NJ,2006
DXCCS8,407242,726339,259.00,115.21,1.00,66.59,NJ,2006
DXCCS9,328417,805164,259.00,115.67,1.00,67.47,NJ,2006
E_CCS1,128162,1005419,2621.00,2611.59,2601.00,6.38,NJ,2006
E_CCS2,19116,1114465,2621.00,2610.94,2601.00,6.80,NJ,2006
E_CCS3,2039,1131542,2621.00,2617.09,2601.00,5.19,NJ,2006
E_CCS4,202,1133379,2621.00,2614.07,2601.00,5.38,NJ,2006
