field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,212370,22,108.00,43.50,0.00,28.21,NM,2009
AGEDAY,30180,182212,364.00,14.08,0.00,54.25,NM,2009
AGEMONTH,36561,175831,131.00,10.24,0.00,26.28,NM,2009
AHOUR,162352,50040,2300.00,1310.74,0.00,659.39,NM,2009
AMONTH,212392,0,12.00,6.45,1.00,3.44,NM,2009
ASOURCE,41528,170864,5.00,3.24,1.00,1.94,NM,2009
ATYPE,211495,897,4.00,2.16,1.00,1.09,NM,2009
AWEEKEND,212390,2,1.00,0.20,0.00,0.40,NM,2009
BWT,20093,192299,9104.00,3211.82,237.00,633.12,NM,2009
DHOUR,187292,25100,2300.00,1302.33,0.00,470.67,NM,2009
DIED,212158,234,1.00,0.02,0.00,0.13,NM,2009
DISPUB04,212158,234,70.00,3.89,1.00,10.76,NM,2009
DISPUNIFORM,212158,234,99.00,2.11,1.00,2.95,NM,2009
DQTR,212392,0,4.00,2.49,1.00,1.12,NM,2009
DRG,212392,0,999.00,574.12,3.00,268.84,NM,2009
DRG24,212392,0,579.00,322.85,1.00,153.46,NM,2009
DRGVER,212392,0,27.00,26.25,26.00,0.43,NM,2009
DRG_NoPOA,212392,0,999.00,573.61,3.00,268.58,NM,2009
DXCCS1,211473,919,670.00,198.93,1.00,148.08,NM,2009
DXCCS2,200260,12132,670.00,181.63,1.00,160.11,NM,2009
DXCCS3,177365,35027,670.00,182.98,1.00,168.07,NM,2009
DXCCS4,155820,56572,670.00,182.77,1.00,172.29,NM,2009
DXCCS5,135965,76427,670.00,183.28,1.00,174.39,NM,2009
DXCCS6,117849,94543,670.00,184.90,1.00,176.38,NM,2009
DXCCS7,101763,110629,670.00,186.46,1.00,176.79,NM,2009
DXCCS8,86430,125962,670.00,188.15,1.00,177.97,NM,2009
DXCCS9,72400,139992,670.00,188.40,1.00,176.95,NM,2009
DXCCS10,52315,160077,670.00,187.54,1.00,174.89,NM,2009
DXCCS11,44333,168059,670.00,188.41,1.00,173.68,NM,2009
DXCCS12,37361,175031,670.00,187.08,1.00,170.49,NM,2009
DXCCS13,31259,181133,670.00,186.73,1.00,168.49,NM,2009
DXCCS14,26032,186360,670.00,188.54,1.00,169.27,NM,2009
DXCCS15,21564,190828,670.00,186.87,1.00,166.22,NM,2009
DXCCS16,17765,194627,670.00,186.16,1.00,165.34,NM,2009
DXCCS17,14491,197901,670.00,184.01,1.00,160.51,NM,2009
DXCCS18,11469,200923,670.00,187.54,1.00,162.35,NM,2009
DaysToEvent,207723,4669,18259.00,15055.21,10937.00,1740.94,NM,2009
E_CCS1,39963,172429,2621.00,2534.48,662.00,388.51,NM,2009
E_CCS2,24301,188091,2621.00,2508.26,662.00,444.65,NM,2009
E_CCS3,8865,203527,2621.00,2528.49,662.00,404.73,NM,2009
FEMALE,212351,41,1.00,0.59,0.00,0.49,NM,2009
HCUP_ED,212392,0,4.00,1.54,0.00,1.95,NM,2009
HCUP_OS,212392,0,0.00,0.00,0.00,0.00,NM,2009
HOSPBRTH,212392,0,1.00,0.12,0.00,0.33,NM,2009
LOS,212354,38,364.00,4.77,0.00,8.93,NM,2009
