field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,206707,13,110.00,44.52,0.00,28.17,NM,2011
AGEDAY,28343,178377,364.00,14.63,0.00,54.68,NM,2011
AGEMONTH,34372,172348,131.00,10.26,0.00,26.21,NM,2011
AHOUR,149656,57064,2359.00,1461.82,1.00,531.82,NM,2011
AMONTH,206720,0,12.00,6.39,1.00,3.45,NM,2011
ATYPE,206538,182,5.00,2.13,1.00,1.12,NM,2011
AWEEKEND,206720,0,1.00,0.21,0.00,0.41,NM,2011
BWT,22532,184188,8800.00,3190.28,229.00,562.44,NM,2011
DHOUR,176615,30105,2359.00,1410.78,1.00,327.38,NM,2011
DIED,206651,69,1.00,0.02,0.00,0.13,NM,2011
DISPUB04,206651,69,70.00,4.60,1.00,12.37,NM,2011
DISPUNIFORM,206651,69,99.00,2.19,1.00,3.00,NM,2011
DQTR,206720,0,4.00,2.47,1.00,1.12,NM,2011
DRG,206720,0,999.00,573.98,3.00,268.48,NM,2011
DRG24,206720,0,579.00,324.02,1.00,155.38,NM,2011
DRGVER,206720,0,29.00,28.24,28.00,0.43,NM,2011
DRG_NoPOA,206720,0,999.00,573.86,3.00,268.42,NM,2011
DXCCS1,206479,241,670.00,198.79,1.00,150.26,NM,2011
DXCCS2,197384,9336,670.00,180.72,1.00,163.57,NM,2011
DXCCS3,179636,27084,670.00,180.69,1.00,165.84,NM,2011
DXCCS4,161138,45582,670.00,180.17,1.00,169.71,NM,2011
DXCCS5,143575,63145,670.00,182.07,1.00,172.91,NM,2011
DXCCS6,127510,79210,670.00,183.04,1.00,173.45,NM,2011
DXCCS7,112908,93812,670.00,185.80,1.00,174.35,NM,2011
DXCCS8,99395,107325,670.00,188.38,1.00,174.75,NM,2011
DXCCS9,86591,120129,670.00,190.00,1.00,173.79,NM,2011
DXCCS10,72204,134516,670.00,192.18,1.00,174.46,NM,2011
DXCCS11,62684,144036,670.00,192.53,1.00,172.38,NM,2011
DXCCS12,54160,152560,670.00,192.02,1.00,169.98,NM,2011
DXCCS13,46581,160139,670.00,193.77,1.00,170.11,NM,2011
DXCCS14,39936,166784,670.00,194.72,1.00,168.56,NM,2011
DXCCS15,34043,172677,670.00,194.31,1.00,165.87,NM,2011
DXCCS16,28982,177738,670.00,196.54,1.00,166.89,NM,2011
DXCCS17,24197,182523,670.00,196.35,1.00,164.71,NM,2011
DXCCS18,16962,189758,670.00,195.39,1.00,160.33,NM,2011
DaysToEvent,201282,5438,18989.00,15797.13,11570.00,1743.66,NM,2011
E_CCS1,40178,166542,2621.00,2539.17,662.00,377.09,NM,2011
E_CCS2,27621,179099,2621.00,2558.35,662.00,333.00,NM,2011
E_CCS3,10760,195960,2621.00,2549.52,662.00,352.75,NM,2011
E_CCS4,431,206289,2621.00,2563.69,662.00,322.25,NM,2011
E_CCS5,81,206639,2621.00,2472.57,662.00,515.32,NM,2011
E_CCS6,79,206641,2621.00,2594.48,662.00,220.23,NM,2011
E_CCS7,19,206701,2621.00,2618.58,2613.00,2.52,NM,2011
E_CCS8,4,206716,2621.00,2619.00,2613.00,4.00,NM,2011
FEMALE,206694,26,1.00,0.58,0.00,0.49,NM,2011
HCUP_ED,206720,0,0.00,0.00,0.00,0.00,NM,2011
HCUP_OS,206720,0,0.00,0.00,0.00,0.00,NM,2011
HCUP_SURGERY_BROAD,206720,0,1.00,0.34,0.00,0.47,NM,2011
HCUP_SURGERY_NARROW,206720,0,1.00,0.27,0.00,0.44,NM,2011
HOSPBRTH,206720,0,1.00,0.12,0.00,0.32,NM,2011
LOS,206659,61,364.00,4.89,0.00,8.84,NM,2011
LOS_X,206720,0,3633.00,5.18,0.00,22.45,NM,2011
MDC,206720,0,25.00,10.73,0.00,5.85,NM,2011
MDC24,206720,0,25.00,10.74,0.00,5.85,NM,2011
MDC_NoPOA,206720,0,25.00,10.74,0.00,5.85,NM,2011
MDNUM1_R,206028,692,5245.00,1922.86,2.00,1319.88,NM,2011
MDNUM2_R,133209,73511,5275.00,1952.43,3.00,1280.41,NM,2011
MEDINCSTQ,191810,14910,4.00,2.45,1.00,1.08,NM,2011
NCHRONIC,206720,0,18.00,3.54,0.00,3.19,NM,2011
NDX,206720,0,18.00,8.23,0.00,5.17,NM,2011
NECODE,206720,0,8.00,0.39,0.00,0.86,NM,2011
NEOMAT,206720,0,3.00,0.38,0.00,0.70,NM,2011
NPR,206720,0,6.00,1.43,0.00,1.62,NM,2011
ORPROC,206720,0,1.00,0.26,0.00,0.44,NM,2011
PAY1,203586,3134,6.00,2.54,1.00,1.57,NM,2011
PAY2,88728,117992,6.00,2.83,1.00,1.62,NM,2011
PL_CBSA,200029,6691,2.00,1.59,0.00,0.57,NM,2011
PL_MSA1993,200029,6691,1.00,0.58,0.00,0.49,NM,2011
PL_NCHS2006,200029,6691,6.00,3.99,3.00,0.95,NM,2011
PL_RUCA10_2005,191092,15628,10.00,2.71,1.00,2.46,NM,2011
PL_RUCA2005,191092,15628,10.60,2.73,1.00,2.53,NM,2011
PL_RUCA4_2005,191092,15628,4.00,1.53,1.00,0.83,NM,2011
PL_RUCC2003,200029,6691,9.00,3.52,2.00,1.72,NM,2011
PL_UIC2003,200029,6691,12.00,3.76,2.00,2.54,NM,2011
PL_UR_CAT4,200029,6691,4.00,2.42,2.00,0.59,NM,2011
PNUM_R,201351,5369,485986.00,385058.34,65.00,82230.38,NM,2011
PRCCS1,126048,80672,231.00,133.96,1.00,62.33,NM,2011
PRCCS2,76235,130485,231.00,140.83,1.00,65.95,NM,2011
PRCCS3,40515,166205,231.00,133.69,1.00,68.58,NM,2011
PRCCS4,22639,184081,231.00,132.34,1.00,70.81,NM,2011
PRCCS5,14280,192440,231.00,129.98,1.00,73.17,NM,2011
PRCCS6,9850,196870,231.00,129.17,1.00,75.51,NM,2011
PRDAY1,126006,80714,365.00,1.20,-4.00,3.41,NM,2011
PRDAY2,75607,131113,155.00,1.45,-4.00,3.80,NM,2011
PRDAY3,40297,166423,189.00,1.84,-4.00,4.82,NM,2011
PRDAY4,22574,184146,189.00,2.35,-4.00,5.69,NM,2011
PRDAY5,14253,192467,165.00,2.94,-3.00,6.84,NM,2011
PRDAY6,9830,196890,180.00,3.50,-3.00,8.19,NM,2011
PROCTYPE,206720,0,1.00,0.61,0.00,0.49,NM,2011
PSTCO,206477,243,35061.00,35022.75,35001.00,20.12,NM,2011
PSTCO2,206477,243,35061.00,35022.75,35001.00,20.12,NM,2011
RACE,187346,19374,6.00,2.44,1.00,1.63,NM,2011
TOTCHG,206605,115,4774458.00,23412.81,100.00,52991.54,NM,2011
TOTCHG_X,206676,44,21061504.00,24605.48,1.00,123633.84,NM,2011
TRAN_IN,202595,4125,2.00,0.10,0.00,0.35,NM,2011
TRAN_OUT,206651,69,2.00,0.22,0.00,0.61,NM,2011
VisitLink,201282,5438,491087.00,394406.85,49.00,64847.67,NM,2011
YEAR,206720,0,2011.00,2011.00,2011.00,0.00,NM,2011
ZIPINC_QRTL,191810,14910,4.00,1.79,1.00,0.87,NM,2011
HOSPID,205782,938,35051.00,35022.49,35001.00,16.96,NM,2011
AYEAR,206720,0,2011.00,2010.99,2001.00,0.12,NM,2011
DMONTH,206720,0,12.00,6.41,1.00,3.44,NM,2011
BMONTH,206717,3,12.00,6.55,1.00,3.42,NM,2011
BYEAR,206717,3,2011.00,1966.02,1901.00,28.27,NM,2011
PRMONTH1,126006,80714,12.00,6.46,1.00,3.44,NM,2011
PRMONTH2,75607,131113,12.00,6.45,1.00,3.44,NM,2011
