field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,308182,25,118.00,45.53,0.00,27.22,NV,2008
AGEDAY,41912,266295,364.00,9.91,0.00,45.29,NV,2008
AGEMONTH,47671,260536,131.00,7.13,0.00,22.56,NV,2008
AHOUR,308204,3,2300.00,1247.94,0.00,648.19,NV,2008
AMONTH,308207,0,12.00,6.42,1.00,3.45,NV,2008
ASOURCE,91734,216473,5.00,2.83,1.00,1.92,NV,2008
ATYPE,307029,1178,5.00,2.16,1.00,1.10,NV,2008
AWEEKEND,308207,0,1.00,0.21,0.00,0.41,NV,2008
DHOUR,308076,131,2300.00,1509.87,0.00,370.27,NV,2008
DIED,308108,99,1.00,0.02,0.00,0.14,NV,2008
DISPUB04,308108,99,99.00,6.26,1.00,16.00,NV,2008
DISPUNIFORM,308108,99,99.00,2.87,1.00,7.60,NV,2008
DQTR,308207,0,4.00,2.48,1.00,1.12,NV,2008
DRG,308207,0,999.00,547.46,1.00,269.77,NV,2008
DRG24,308207,0,579.00,318.43,1.00,157.22,NV,2008
DRGVER,308207,0,26.00,25.24,25.00,0.43,NV,2008
DRG_NoPOA,308207,0,999.00,547.36,1.00,269.72,NV,2008
DXCCS1,308084,123,670.00,176.60,1.00,114.83,NV,2008
DXCCS2,294020,14187,670.00,161.04,1.00,132.77,NV,2008
DXCCS3,255597,52610,670.00,165.43,1.00,146.82,NV,2008
DXCCS4,223669,84538,670.00,168.87,1.00,155.82,NV,2008
DXCCS5,195956,112251,670.00,171.90,1.00,162.07,NV,2008
DXCCS6,171247,136960,670.00,174.99,1.00,166.04,NV,2008
DXCCS7,149368,158839,670.00,176.90,1.00,167.54,NV,2008
DXCCS8,127687,180520,670.00,177.33,1.00,167.30,NV,2008
DXCCS9,108670,199537,670.00,178.90,1.00,167.78,NV,2008
DXCCS10,67836,240371,670.00,180.10,1.00,168.20,NV,2008
DXCCS11,58398,249809,670.00,179.73,1.00,167.11,NV,2008
DXCCS12,49750,258457,670.00,180.66,1.00,166.45,NV,2008
DXCCS13,42521,265686,670.00,178.29,1.00,162.81,NV,2008
DXCCS14,35548,272659,670.00,179.01,1.00,162.87,NV,2008
DXCCS15,30055,278152,670.00,180.23,1.00,163.79,NV,2008
DXCCS16,25361,282846,670.00,181.91,1.00,164.92,NV,2008
DXCCS17,20883,287324,670.00,180.66,1.00,161.87,NV,2008
DXCCS18,17381,290826,670.00,181.63,1.00,162.22,NV,2008
DXCCS19,12608,295599,670.00,182.55,1.00,162.98,NV,2008
DXCCS20,10148,298059,670.00,178.57,1.00,158.54,NV,2008
DXCCS21,7982,300225,663.00,181.93,1.00,160.98,NV,2008
DXCCS22,3690,304517,670.00,181.52,1.00,158.11,NV,2008
DXCCS23,3026,305181,670.00,179.91,1.00,153.50,NV,2008
DXCCS24,2434,305773,670.00,181.86,1.00,157.50,NV,2008
DXCCS25,1698,306509,670.00,178.22,1.00,152.47,NV,2008
DXCCS26,420,307787,670.00,177.55,3.00,157.73,NV,2008
DXCCS27,313,307894,663.00,171.36,3.00,147.02,NV,2008
DXCCS28,241,307966,670.00,160.66,3.00,138.99,NV,2008
DXCCS29,184,308023,663.00,204.43,3.00,191.37,NV,2008
DXCCS30,140,308067,663.00,187.29,1.00,163.01,NV,2008
DXCCS31,110,308097,663.00,189.97,1.00,170.01,NV,2008
DXCCS32,79,308128,663.00,160.29,3.00,114.52,NV,2008
DXCCS33,59,308148,663.00,164.02,3.00,154.30,NV,2008
E_CCS1,47272,260935,2621.00,2550.51,662.00,343.33,NV,2008
E_CCS2,25822,282385,2621.00,2588.39,662.00,246.53,NV,2008
E_CCS3,3796,304411,2621.00,2527.88,662.00,409.04,NV,2008
FEMALE,308116,91,1.00,0.57,0.00,0.49,NV,2008
HCUP_ED,308207,0,4.00,0.66,0.00,0.88,NV,2008
HCUP_OS,308207,0,1.00,0.04,0.00,0.21,NV,2008
HOSPBRTH,308207,0,1.00,0.12,0.00,0.33,NV,2008
Homeless,308207,0,0.00,0.00,0.00,0.00,NV,2008
INTENSIVECARE,308207,0,99.00,2.78,0.00,16.36,NV,2008
LOS,308201,6,351.00,4.85,0.00,7.90,NV,2008
LOS_X,308207,0,384.00,4.85,0.00,8.07,NV,2008
MDC,308207,0,25.00,10.13,0.00,5.75,NV,2008
MDC24,308207,0,25.00,10.14,0.00,5.75,NV,2008
MDNUM1_R,284664,23543,8727.00,4904.46,5.00,2196.37,NV,2008
MDNUM2_R,184113,124094,8729.00,4904.63,2.00,2361.75,NV,2008
