field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,2608579,36,117.00,48.54,0.00,27.40,NY,2007
AGEDAY,276144,2332471,364.00,15.16,0.00,55.58,NY,2007
AGEMONTH,343341,2265274,131.00,11.71,0.00,27.71,NY,2007
AHOUR,2608606,9,2300.00,1275.87,0.00,615.14,NY,2007
AMONTH,2608615,0,12.00,6.43,1.00,3.44,NY,2007
ANESTH,2396493,212122,40.00,7.08,0.00,12.32,NY,2007
ASCHED,1324206,1284409,1.00,0.29,0.00,0.45,NY,2007
ASOURCE,2237876,370739,5.00,2.57,1.00,1.91,NY,2007
ATYPE,2604900,3715,5.00,1.78,1.00,1.06,NY,2007
AWEEKEND,2608615,0,1.00,0.19,0.00,0.39,NY,2007
BLOOD,2608442,173,998.00,0.84,0.00,15.49,NY,2007
BWT,250360,2358255,8985.00,3261.73,230.00,604.72,NY,2007
DHOUR,2608602,13,2300.00,1428.83,0.00,344.09,NY,2007
DIED,2608615,0,1.00,0.02,0.00,0.15,NY,2007
DISPUB04,2608615,0,70.00,4.02,1.00,10.10,NY,2007
DISPUNIFORM,2608615,0,20.00,2.66,1.00,3.34,NY,2007
DQTR,2608615,0,4.00,2.48,1.00,1.12,NY,2007
DRG,2608615,0,999.00,365.52,1.00,217.99,NY,2007
DRG24,2608615,0,579.00,309.56,1.00,160.53,NY,2007
DRGVER,2608615,0,25.00,24.24,24.00,0.43,NY,2007
DXCCS1,2608601,14,670.00,191.06,1.00,155.15,NY,2007
DXCCS2,2401882,206733,670.00,173.15,1.00,162.52,NY,2007
DXCCS3,2109220,499395,670.00,172.86,1.00,168.39,NY,2007
DXCCS4,1809787,798828,670.00,171.43,1.00,169.49,NY,2007
DXCCS5,1526631,1081984,670.00,170.94,1.00,170.20,NY,2007
DXCCS6,1268348,1340267,670.00,171.78,1.00,171.20,NY,2007
DXCCS7,1040922,1567693,670.00,172.33,1.00,171.45,NY,2007
DXCCS8,845261,1763354,670.00,172.94,1.00,171.25,NY,2007
DXCCS9,681301,1927314,670.00,173.28,1.00,170.73,NY,2007
DXCCS10,511393,2097222,670.00,173.72,1.00,169.74,NY,2007
DXCCS11,407395,2201220,670.00,174.29,1.00,169.37,NY,2007
DXCCS12,322882,2285733,670.00,174.59,1.00,168.51,NY,2007
DXCCS13,253520,2355095,670.00,174.78,1.00,167.86,NY,2007
DXCCS14,185053,2423562,670.00,173.13,1.00,164.88,NY,2007
DXCCS15,136509,2472106,670.00,174.14,1.00,164.81,NY,2007
E_CCS1,375571,2233044,2621.00,2558.65,662.00,319.39,NY,2007
E_CCS2,156261,2452354,2621.00,2617.53,662.00,78.45,NY,2007
E_CCS3,8357,2600258,2621.00,2549.40,662.00,348.88,NY,2007
E_CCS4,2850,2605765,2621.00,2593.75,662.00,224.62,NY,2007
E_CCS5,206,2608409,2621.00,2493.92,662.00,476.62,NY,2007
E_CCS6,21,2608594,2621.00,2524.81,662.00,426.84,NY,2007
E_CCS7,3,2608612,2619.00,2616.33,2613.00,3.06,NY,2007
HCUP_ED,2608615,0,4.00,0.85,0.00,1.07,NY,2007
HCUP_OS,2608615,0,1.00,0.00,0.00,0.06,NY,2007
HOSPBRTH,2608615,0,1.00,0.09,0.00,0.29,NY,2007
Homeless,2608615,0,1.00,0.05,0.00,0.23,NY,2007
LOS,2608444,171,365.00,5.66,0.00,9.44,NY,2007
LOS_X,2608615,0,4113.00,5.70,0.00,12.08,NY,2007
MDC,2608615,0,25.00,10.06,0.00,5.90,NY,2007
MDC24,2608615,0,25.00,10.06,0.00,5.91,NY,2007
MDNUM1_R,2591760,16855,73296.00,27449.33,1.00,20023.30,NY,2007
MDNUM2_R,1886712,721903,73316.00,27081.98,1.00,19443.59,NY,2007
MEDINCSTQ,2428227,180388,4.00,2.42,1.00,1.14,NY,2007
NDX,2608615,0,15.00,6.18,1.00,3.92,NY,2007
NECODE,2608615,0,8.00,0.21,0.00,0.55,NY,2007
NEOMAT,2608615,0,3.00,0.30,0.00,0.63,NY,2007
NPR,2608615,0,15.00,1.99,0.00,2.30,NY,2007
PAY1,2608615,0,6.00,2.17,1.00,1.11,NY,2007
PAY2,1732041,876574,6.00,2.72,1.00,1.15,NY,2007
PL_CBSA,2602359,6256,2.00,1.90,0.00,0.36,NY,2007
PL_MSA1993,2602359,6256,1.00,0.93,0.00,0.26,NY,2007
PL_NCHS2006,2602359,6256,6.00,1.90,1.00,1.26,NY,2007
PRDAY11,30060,2578555,367.00,8.37,-3.00,14.92,NY,2007
PRDAY12,22109,2586506,365.00,9.45,-3.00,16.32,NY,2007
PRDAY13,16320,2592295,341.00,10.36,-3.00,17.16,NY,2007
PRDAY14,11488,2597127,352.00,11.28,-3.00,18.29,NY,2007
PRDAY15,8228,2600387,364.00,12.25,-2.00,20.06,NY,2007
PROCTYPE,2608615,0,1.00,0.73,0.00,0.44,NY,2007
PSTCO,2513134,95481,36123.00,36060.35,36001.00,32.24,NY,2007
PSTCO2,2602739,5876,78030.00,35905.14,1001.00,2227.89,NY,2007
RACE,2557811,50804,6.00,1.95,1.00,1.41,NY,2007
YEAR,2608615,0,2007.00,2007.00,2007.00,0.00,NY,2007
ZIPINC_QRTL,2428227,180388,4.00,2.48,1.00,1.21,NY,2007
AYEAR,2556143,52472,2007.00,2006.99,1996.00,0.12,NY,2007
DMONTH,2556143,52472,12.00,6.45,1.00,3.43,NY,2007
BMONTH,2556143,52472,12.00,6.51,1.00,3.44,NY,2007
BYEAR,2556143,52472,2007.00,1957.93,1890.00,27.70,NY,2007
PRMONTH1,1863074,745541,12.00,6.42,1.00,3.43,NY,2007
PRMONTH2,1176742,1431873,12.00,6.40,1.00,3.43,NY,2007
PRMONTH3,713845,1894770,12.00,6.39,1.00,3.43,NY,2007
PRMONTH4,436041,2172574,12.00,6.39,1.00,3.43,NY,2007
PRMONTH5,282251,2326364,12.00,6.39,1.00,3.44,NY,2007
PRMONTH6,192273,2416342,12.00,6.39,1.00,3.44,NY,2007
PRMONTH7,134529,2474086,12.00,6.40,1.00,3.43,NY,2007
PRMONTH8,89849,2518766,12.00,6.41,1.00,3.43,NY,2007
PRMONTH9,59396,2549219,12.00,6.42,1.00,3.43,NY,2007
PRMONTH10,41924,2566691,12.00,6.42,1.00,3.43,NY,2007
PRMONTH11,30060,2578555,12.00,6.43,1.00,3.43,NY,2007
PRMONTH12,22109,2586506,12.00,6.45,1.00,3.43,NY,2007
PRMONTH13,16320,2592295,12.00,6.47,1.00,3.42,NY,2007
PRMONTH14,11488,2597127,12.00,6.43,1.00,3.43,NY,2007
PRMONTH15,8228,2600387,12.00,6.49,1.00,3.44,NY,2007
