field,count,count_null,max,mean,min,stddev_samp,state,year
DSNUM,376069,0,15.00,15.00,15.00,0.00,OR,1997
DSTYPE,376069,0,2.00,2.00,2.00,0.00,OR,1997
AGE,376018,51,120.00,45.28,0.00,28.28,OR,1997
AGEDAY,53444,322625,364.00,9.99,0.00,45.56,OR,1997
SEX,375963,106,2.00,1.58,1.00,0.49,OR,1997
ADAYWK,376069,0,7.00,3.95,1.00,1.83,OR,1997
AMONTH,376069,0,12.00,6.47,1.00,3.46,OR,1997
DQTR,376069,0,4.00,2.49,1.00,1.12,OR,1997
LOS,375833,236,609.00,3.75,0.00,5.02,OR,1997
LOS_X,376069,0,609.00,3.74,0.00,5.02,OR,1997
DISP,376069,0,20.00,1.84,1.00,2.87,OR,1997
DIED,376069,0,1.00,0.02,0.00,0.14,OR,1997
NEOMAT,376069,0,3.00,0.41,0.00,0.71,OR,1997
ATYPE,364306,11763,4.00,2.32,1.00,0.99,OR,1997
ASOURCE,364406,11663,5.00,3.64,1.00,1.86,OR,1997
DXSYS,376069,0,1.00,1.00,1.00,0.00,OR,1997
DSNDX,376069,0,10.00,10.00,10.00,0.00,OR,1997
NDX,376069,0,10.00,4.21,1.00,2.53,OR,1997
DXV1,376067,2,0.00,0.00,0.00,0.00,OR,1997
DXV2,316342,59727,1.00,0.00,0.00,0.00,OR,1997
DXV3,255741,120328,1.00,0.00,0.00,0.02,OR,1997
DXV4,201932,174137,1.00,0.00,0.00,0.02,OR,1997
DXV5,154925,221144,1.00,0.00,0.00,0.01,OR,1997
DXV6,107092,268977,1.00,0.00,0.00,0.01,OR,1997
DXV7,76317,299752,1.00,0.00,0.00,0.01,OR,1997
DXV8,55130,320939,1.00,0.00,0.00,0.01,OR,1997
DXV9,38836,337233,1.00,0.00,0.00,0.01,OR,1997
DXV10,249,375820,0.00,0.00,0.00,0.00,OR,1997
DCCHPR1,376069,0,259.00,152.28,1.00,63.90,OR,1997
DCCHPR2,316345,59724,260.00,131.45,1.00,66.53,OR,1997
DCCHPR3,255684,120385,260.00,126.58,1.00,66.95,OR,1997
DCCHPR4,201900,174169,260.00,122.87,1.00,67.25,OR,1997
DCCHPR5,154906,221163,260.00,120.80,1.00,67.77,OR,1997
DCCHPR6,107085,268984,260.00,120.61,1.00,68.69,OR,1997
DCCHPR7,76313,299756,260.00,119.90,1.00,69.15,OR,1997
DCCHPR8,55127,320942,260.00,120.63,1.00,70.12,OR,1997
DCCHPR9,38835,337234,260.00,122.74,1.00,71.47,OR,1997
DCCHPR10,249,375820,260.00,259.93,243.00,1.08,OR,1997
PRSYS,376069,0,1.00,1.00,1.00,0.00,OR,1997
DSNPR,376069,0,6.00,6.00,6.00,0.00,OR,1997
NPR,376069,0,6.00,1.38,0.00,1.55,OR,1997
PRV1,236908,139161,1.00,0.00,0.00,0.01,OR,1997
PRV2,134842,241227,1.00,0.00,0.00,0.01,OR,1997
PRV3,74677,301392,1.00,0.00,0.00,0.01,OR,1997
PRV4,39583,336486,1.00,0.00,0.00,0.01,OR,1997
PRV5,22776,353293,1.00,0.00,0.00,0.01,OR,1997
PRV6,11824,364245,0.00,0.00,0.00,0.00,OR,1997
PCCHPR1,236876,139193,231.00,121.73,1.00,60.96,OR,1997
PCCHPR2,134924,241145,231.00,124.08,1.00,62.63,OR,1997
PCCHPR3,74765,301304,231.00,121.49,1.00,66.94,OR,1997
PCCHPR4,39581,336488,231.00,128.06,1.00,71.90,OR,1997
PCCHPR5,22775,353294,231.00,130.75,1.00,74.50,OR,1997
PCCHPR6,11824,364245,231.00,125.17,1.00,75.31,OR,1997
PRDAY1,234288,141781,241.00,0.73,-4.00,2.24,OR,1997
PRDAY2,133736,242333,241.00,0.86,-4.00,2.61,OR,1997
PRDAY3,74219,301850,241.00,1.15,-4.00,3.21,OR,1997
PRDAY4,39307,336762,210.00,1.55,-4.00,3.97,OR,1997
PRDAY5,22654,353415,350.00,2.05,-3.00,5.40,OR,1997
PRDAY6,11824,364245,444.00,2.72,-3.00,7.44,OR,1997
DRG,376069,0,503.00,268.74,1.00,137.13,OR,1997
MDC,376069,0,25.00,10.05,0.00,5.46,OR,1997
DRGVER,376069,0,15.00,14.25,14.00,0.43,OR,1997
DRG10,376069,0,492.00,264.34,1.00,134.20,OR,1997
MDC10,376069,0,25.00,10.04,0.00,5.46,OR,1997
PAY1,376069,0,6.00,2.55,1.00,1.21,OR,1997
PAY1_N,376069,0,12.00,3.42,1.00,2.18,OR,1997
PAY2,135783,240286,6.00,3.38,1.00,0.92,OR,1997
PAY2_N,135783,240286,12.00,4.80,1.00,1.91,OR,1997
TOTCHG,346199,29870,786732.00,7790.96,100.00,13516.28,OR,1997
TOTCHG_X,346435,29634,786732.18,7801.18,10.00,13555.62,OR,1997
HOSPID,344838,31231,41085.00,41038.99,41001.00,24.87,OR,1997
