field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,140452,13,114.00,49.03,0.00,28.38,RI,2003
AMONTH,140465,0,12.00,6.50,1.00,3.45,RI,2003
ASOURCE,138817,1648,5.00,2.88,1.00,1.95,RI,2003
ATYPE,140382,83,6.00,1.92,1.00,1.07,RI,2003
AWEEKEND,140465,0,1.00,0.20,0.00,0.40,RI,2003
BWT,18216,122249,9138.00,3627.03,245.00,1509.76,RI,2003
DaysCCU,139547,918,140.00,0.09,0.00,0.95,RI,2003
DaysICU,139547,918,210.00,0.56,0.00,3.15,RI,2003
DIED,140105,360,1.00,0.02,0.00,0.15,RI,2003
DISPUB92,140105,360,20.00,2.58,1.00,3.24,RI,2003
DISPUNIFORM,140105,360,20.00,2.80,1.00,3.33,RI,2003
DQTR,140465,0,4.00,2.51,1.00,1.12,RI,2003
DRG,140465,0,540.00,278.38,1.00,147.60,RI,2003
DRG18,140465,0,511.00,266.02,1.00,142.62,RI,2003
DRGVER,140465,0,21.00,20.25,20.00,0.43,RI,2003
DXCCS1,140258,207,259.00,143.69,1.00,64.64,RI,2003
DXCCS2,125727,14738,259.00,124.28,1.00,62.78,RI,2003
DXCCS3,110844,29621,259.00,120.37,1.00,64.00,RI,2003
DXCCS4,95367,45098,259.00,116.15,1.00,62.64,RI,2003
DXCCS5,79967,60498,259.00,114.06,1.00,62.56,RI,2003
DXCCS6,65440,75025,259.00,112.25,1.00,62.13,RI,2003
DXCCS7,52315,88150,259.00,111.42,1.00,62.41,RI,2003
DXCCS8,40739,99726,259.00,110.97,1.00,62.27,RI,2003
DXCCS9,31532,108933,259.00,112.24,1.00,63.39,RI,2003
DXCCS10,23966,116499,259.00,111.33,1.00,63.53,RI,2003
DXCCS11,17811,122654,259.00,112.19,1.00,64.53,RI,2003
E_CCS1,20262,120203,2620.00,2612.23,2601.00,5.95,RI,2003
E_CCS2,15807,124658,2620.00,2611.92,2601.00,6.03,RI,2003
E_CCS3,1185,139280,2621.00,2617.97,2601.00,5.10,RI,2003
E_CCS4,230,140235,2621.00,2610.64,2601.00,7.21,RI,2003
E_CCS5,18,140447,2621.00,2615.22,2603.00,7.66,RI,2003
LOS,140459,6,360.00,5.26,0.00,7.83,RI,2003
LOS_X,140465,0,674.00,5.29,0.00,8.60,RI,2003
MDC,140465,0,25.00,9.91,0.00,5.77,RI,2003
MDC18,140465,0,25.00,9.91,0.00,5.76,RI,2003
MDNUM1_R,139399,1066,2510.00,1261.19,1.00,726.05,RI,2003
MDNUM2_R,86043,54422,3039.00,1317.06,1.00,785.07,RI,2003
NDX,140465,0,11.00,5.58,0.00,3.22,RI,2003
NECODE,140465,0,6.00,0.27,0.00,0.68,RI,2003
NEOMAT,140465,0,3.00,0.31,0.00,0.65,RI,2003
NPR,140465,0,11.00,1.36,0.00,1.84,RI,2003
PAY1,140358,107,6.00,2.07,1.00,1.04,RI,2003
PL_CBSA,140062,403,2.00,2.00,0.00,0.07,RI,2003
PL_MSA1993,140062,403,1.00,1.00,0.00,0.03,RI,2003
PL_RUCA,139989,476,10.50,1.25,1.00,0.91,RI,2003
PL_RUCA10,139989,476,10.00,1.25,1.00,0.89,RI,2003
PL_RUCA4,139989,476,4.00,1.02,1.00,0.18,RI,2003
PL_RUCC2003,140062,403,9.00,1.03,1.00,0.26,RI,2003
PL_UIC2003,140062,403,12.00,1.03,1.00,0.31,RI,2003
