field,count,count_null,max,mean,min,stddev_samp,state,year
AMONTH,533767,0,12.00,6.47,1.00,3.47,SC,2012
ATYPE,530827,2940,5.00,2.02,1.00,1.05,SC,2012
AWEEKEND,533767,0,1.00,0.19,0.00,0.39,SC,2012
DIED,533712,55,1.00,0.02,0.00,0.14,SC,2012
DISPUB04,533712,55,70.00,5.22,1.00,12.97,SC,2012
DISPUNIFORM,533712,55,99.00,2.62,1.00,4.42,SC,2012
DQTR,533767,0,4.00,2.49,1.00,1.12,SC,2012
DRG,533767,0,999.00,525.59,1.00,269.68,SC,2012
DRG24,533767,0,579.00,311.01,1.00,164.79,SC,2012
DRGVER,533767,0,30.00,29.25,29.00,0.43,SC,2012
DRG_NoPOA,533767,0,999.00,525.57,1.00,269.67,SC,2012
DXCCS1,533710,57,670.00,166.87,1.00,116.42,SC,2012
DXCCS2,509248,24519,670.00,155.03,1.00,137.71,SC,2012
DXCCS3,467997,65770,670.00,161.30,1.00,148.47,SC,2012
DXCCS4,430754,103013,670.00,166.17,1.00,158.75,SC,2012
DXCCS5,395579,138188,670.00,169.31,1.00,165.28,SC,2012
DXCCS6,361189,172578,670.00,173.24,1.00,168.92,SC,2012
DXCCS7,327131,206636,670.00,176.77,1.00,170.55,SC,2012
DXCCS8,294500,239267,670.00,180.65,1.00,171.83,SC,2012
DXCCS9,263061,270706,670.00,183.49,1.00,171.00,SC,2012
DXCCS10,233444,300323,670.00,185.34,1.00,170.01,SC,2012
DXCCS11,205730,328037,670.00,187.42,1.00,169.54,SC,2012
DXCCS12,179735,354032,670.00,188.07,1.00,167.11,SC,2012
DXCCS13,155904,377863,670.00,189.14,1.00,165.88,SC,2012
DXCCS14,133975,399792,670.00,189.97,1.00,164.94,SC,2012
DXCCS15,109697,424070,670.00,190.62,1.00,162.85,SC,2012
DaysICU,533767,0,457.00,1.32,0.00,3.90,SC,2012
E_CCS1,88561,445206,2621.00,2551.58,662.00,341.29,SC,2012
E_CCS2,28858,504909,2621.00,2610.60,662.00,139.44,SC,2012
E_CCS3,26419,507348,2621.00,2592.99,662.00,227.00,SC,2012
E_CCS4,6663,527104,2621.00,2585.85,662.00,254.99,SC,2012
E_CCS5,1899,531868,2621.00,2593.85,662.00,223.20,SC,2012
