field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,105236,10,107.00,48.12,0.00,29.58,SD,2009
AGEDAY,13619,91627,364.00,17.12,0.00,58.54,SD,2009
AGEMONTH,16709,88537,131.00,10.88,0.00,27.05,SD,2009
AMONTH,105246,0,12.00,6.43,1.00,3.43,SD,2009
ATYPE,102705,2541,5.00,2.38,1.00,0.98,SD,2009
AWEEKEND,105246,0,1.00,0.18,0.00,0.38,SD,2009
DIED,105246,0,1.00,0.02,0.00,0.13,SD,2009
DISPUB04,105246,0,70.00,6.40,1.00,16.06,SD,2009
DISPUNIFORM,105246,0,20.00,2.21,1.00,2.93,SD,2009
DQTR,105246,0,4.00,2.48,1.00,1.11,SD,2009
DRG,105246,0,999.00,557.89,3.00,272.72,SD,2009
DRG24,105246,0,579.00,315.53,1.00,156.58,SD,2009
DRGVER,105246,0,27.00,26.24,26.00,0.43,SD,2009
DRG_NoPOA,105246,0,998.00,553.83,3.00,270.97,SD,2009
DXCCS1,105246,0,670.00,196.50,1.00,145.28,SD,2009
DXCCS2,96155,9091,670.00,168.75,1.00,169.02,SD,2009
DXCCS3,86092,19154,670.00,179.39,1.00,180.21,SD,2009
DXCCS4,76798,28448,670.00,180.92,1.00,180.26,SD,2009
DXCCS5,67952,37294,670.00,179.37,1.00,175.68,SD,2009
DXCCS6,59920,45326,670.00,177.89,1.00,171.24,SD,2009
DXCCS7,52623,52623,670.00,176.88,1.00,167.40,SD,2009
DXCCS8,45930,59316,670.00,177.07,1.00,164.57,SD,2009
DXCCS9,39924,65322,670.00,176.10,1.00,159.58,SD,2009
DXCCS10,34420,70826,670.00,175.89,1.00,157.04,SD,2009
DXCCS11,29458,75788,670.00,178.40,1.00,156.62,SD,2009
DXCCS12,24985,80261,670.00,178.12,1.00,153.21,SD,2009
DXCCS13,21090,84156,670.00,177.58,1.00,149.78,SD,2009
DXCCS14,17771,87475,670.00,179.33,1.00,150.72,SD,2009
DXCCS15,14862,90384,670.00,179.11,1.00,147.38,SD,2009
E_CCS2,7007,98239,2621.00,2452.81,662.00,536.53,SD,2009
E_CCS3,1067,104179,2621.00,2313.34,662.00,709.15,SD,2009
E_CCS4,150,105096,2621.00,2134.33,662.00,845.32,SD,2009
E_CCS5,23,105223,2621.00,2360.13,662.00,672.49,SD,2009
E_CCS6,2,105244,2617.00,2615.00,2613.00,2.83,SD,2009
HCUP_ED,105246,0,4.00,0.73,0.00,1.06,SD,2009
HCUP_OS,105246,0,0.00,0.00,0.00,0.00,SD,2009
HOSPBRTH,105246,0,1.00,0.11,0.00,0.31,SD,2009
HospitalUnit,105246,0,4.00,1.26,1.00,0.79,SD,2009
LOS,105246,0,357.00,4.36,0.00,6.50,SD,2009
LOS_X,105246,0,357.00,4.36,0.00,6.50,SD,2009
MDC,105246,0,25.00,10.24,0.00,5.85,SD,2009
MDC24,105246,0,25.00,10.35,0.00,5.82,SD,2009
MDNUM1_R,105043,203,4316.00,2979.01,18.00,668.97,SD,2009
MDNUM2_R,57778,47468,4437.00,2922.39,56.00,599.96,SD,2009
MDNUM3_R,38233,67013,4448.00,2957.41,18.00,658.34,SD,2009
MEDINCSTQ,103130,2116,4.00,2.40,1.00,1.12,SD,2009
