field,count,count_null,max,mean,min,stddev_samp,state,year
ADRG,266195,0,543.00,311.52,1.00,133.96,UT,2004
ADRGRISKMORTALITY,266195,0,4.00,1.40,0.00,0.78,UT,2004
ADRGSEV,266195,0,4.00,1.77,0.00,0.84,UT,2004
AGE,266176,19,106.00,36.82,0.00,28.36,UT,2004
AGEDAY,57037,209158,364.00,11.23,0.00,47.64,UT,2004
AGEMONTH,65118,201077,131.00,7.10,0.00,22.07,UT,2004
AMONTH,266195,0,12.00,6.42,1.00,3.44,UT,2004
ASOURCE,258656,7539,5.00,3.76,1.00,1.81,UT,2004
ATYPE,260635,5560,5.00,2.52,1.00,0.96,UT,2004
AWEEKEND,266193,2,1.00,0.19,0.00,0.39,UT,2004
DIED,263954,2241,1.00,0.01,0.00,0.11,UT,2004
DISPUB92,263954,2241,71.00,2.24,1.00,5.82,UT,2004
DISPUNIFORM,263954,2241,99.00,1.90,1.00,2.66,UT,2004
DQTR,266195,0,4.00,2.48,1.00,1.12,UT,2004
DRG,266195,0,543.00,311.53,1.00,133.96,UT,2004
DRG18,266195,0,511.00,298.43,1.00,131.75,UT,2004
DRGVER,266195,0,22.00,21.24,21.00,0.43,UT,2004
DXCCS1,266051,144,259.00,164.64,1.00,61.22,UT,2004
DXCCS2,239889,26306,259.00,135.84,1.00,71.14,UT,2004
DXCCS3,188825,77370,259.00,134.03,1.00,69.47,UT,2004
DXCCS4,151393,114802,259.00,129.95,1.00,69.26,UT,2004
DXCCS5,122303,143892,259.00,127.53,1.00,69.31,UT,2004
DXCCS6,99027,167168,259.00,126.58,1.00,69.64,UT,2004
DXCCS7,79822,186373,259.00,125.93,1.00,69.84,UT,2004
DXCCS8,59639,206556,259.00,125.48,1.00,69.69,UT,2004
DXCCS9,43708,222487,259.00,126.04,1.00,69.89,UT,2004
E_CCS1,30985,235210,2621.00,2612.08,2601.00,5.90,UT,2004
E_CCS2,24913,241282,2621.00,2612.65,2601.00,5.93,UT,2004
E_CCS3,15317,250878,2621.00,2620.41,2601.00,2.33,UT,2004
E_CCS4,1192,265003,2621.00,2616.86,2601.00,4.86,UT,2004
E_CCS5,217,265978,2621.00,2619.49,2603.00,3.38,UT,2004
E_CCS6,6,266189,2621.00,2619.50,2617.00,1.97,UT,2004
LOS,266152,43,362.00,3.96,0.00,6.92,UT,2004
LOS_X,266195,0,1426.00,4.05,-15.00,10.51,UT,2004
MDC,266195,0,25.00,11.10,0.00,5.27,UT,2004
MDC18,266195,0,25.00,11.10,0.00,5.27,UT,2004
NDX,266195,0,9.00,4.70,0.00,2.73,UT,2004
NECODE,266195,0,7.00,0.27,0.00,0.81,UT,2004
NEOMAT,266195,0,2.00,0.60,0.00,0.80,UT,2004
NPR,266195,0,6.00,1.40,0.00,1.57,UT,2004
PAY1,265825,370,6.00,2.55,1.00,1.18,UT,2004
PAY2,119227,146968,6.00,2.95,1.00,0.96,UT,2004
PL_CBSA,265757,438,2.00,1.79,0.00,0.55,UT,2004
PL_MSA1993,265755,440,1.00,0.74,0.00,0.44,UT,2004
PL_RUCA,265357,838,10.50,2.35,1.00,2.62,UT,2004
PL_RUCA10,265357,838,10.00,2.34,1.00,2.60,UT,2004
PL_RUCA4,265357,838,4.00,1.40,1.00,0.84,UT,2004
PL_RUCC2003,265758,437,9.00,2.66,1.00,1.55,UT,2004
PL_UIC2003,265758,437,12.00,2.75,1.00,2.09,UT,2004
PL_UR_CAT4,265758,437,4.00,2.19,1.00,0.57,UT,2004
PL_UR_CAT5,265758,437,5.00,2.23,1.00,0.69,UT,2004
PRCCS1,168947,97248,231.00,120.07,1.00,53.53,UT,2004
PRCCS2,96252,169943,231.00,120.32,1.00,56.52,UT,2004
PRCCS3,52942,213253,231.00,116.99,1.00,62.52,UT,2004
PRCCS4,27786,238409,231.00,116.48,1.00,70.64,UT,2004
PRCCS5,16937,249258,231.00,117.74,1.00,78.29,UT,2004
PRCCS6,10181,256014,231.00,147.06,1.00,79.37,UT,2004
RACE,98803,167392,6.00,1.18,1.00,0.83,UT,2004
TOTCHG,260541,5654,996723.00,12330.20,41.00,23669.07,UT,2004
AYEAR,266193,2,2004.00,2003.99,2000.00,0.11,UT,2004
DMONTH,266195,0,12.00,6.42,1.00,3.44,UT,2004
BMONTH,266189,6,12.00,6.52,1.00,3.42,UT,2004
BYEAR,266189,6,2004.00,1966.77,1898.00,28.49,UT,2004
