field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,54404,4,104.00,49.46,0.00,28.42,VT,2007
AGEDAY,6775,47633,364.00,9.15,0.00,43.01,VT,2007
AGEMONTH,7690,46718,131.00,7.31,0.00,22.99,VT,2007
AMONTH,54408,0,12.00,6.43,1.00,3.45,VT,2007
ASOURCE,41690,12718,5.00,3.11,1.00,1.93,VT,2007
ATYPE,54408,0,5.00,1.98,1.00,0.99,VT,2007
AWEEKEND,54408,0,1.00,0.20,0.00,0.40,VT,2007
BWT,6327,48081,8154.00,3354.55,252.00,609.30,VT,2007
CPTDAY1,22784,31624,341.00,3.01,-4.00,8.61,VT,2007
CPTDAY2,21192,33216,341.00,3.24,-3.00,8.09,VT,2007
CPTDAY3,19354,35054,342.00,3.09,-3.00,7.40,VT,2007
CPTDAY4,16783,37625,275.00,2.91,-3.00,7.22,VT,2007
CPTDAY5,14146,40262,260.00,2.99,-3.00,7.29,VT,2007
CPTDAY6,11543,42865,268.00,3.19,-4.00,8.09,VT,2007
CPTDAY7,9242,45166,266.00,3.53,-3.00,8.69,VT,2007
CPTDAY8,7250,47158,283.00,3.98,-3.00,9.50,VT,2007
CPTDAY9,5627,48781,234.00,4.53,-3.00,10.31,VT,2007
CPTDAY10,4331,50077,268.00,5.18,-3.00,11.78,VT,2007
CPTDAY11,3349,51059,257.00,5.71,-3.00,11.79,VT,2007
CPTDAY12,2588,51820,161.00,6.38,-3.00,11.69,VT,2007
CPTDAY13,1934,52474,171.00,7.04,-2.00,13.35,VT,2007
CPTDAY14,1484,52924,154.00,7.64,-3.00,13.08,VT,2007
CPTDAY15,1062,53346,268.00,9.26,-3.00,17.53,VT,2007
CPTDAY16,762,53646,125.00,9.32,-1.00,14.91,VT,2007
CPTDAY17,511,53897,148.00,11.16,-3.00,17.08,VT,2007
CPTDAY18,306,54102,121.00,10.85,-2.00,15.42,VT,2007
CPTDAY19,137,54271,120.00,12.19,-2.00,18.47,VT,2007
CPTDAY20,41,54367,63.00,13.10,0.00,17.09,VT,2007
CPTDAY21,9,54399,130.00,20.67,1.00,41.97,VT,2007
CPTDAY22,2,54406,8.00,4.00,0.00,5.66,VT,2007
DISPUB04,54408,0,66.00,4.68,1.00,10.55,VT,2007
DISPUNIFORM,54408,0,20.00,3.16,1.00,3.44,VT,2007
DQTR,54408,0,4.00,2.48,1.00,1.12,VT,2007
DRG,54408,0,989.00,361.80,1.00,216.20,VT,2007
DRG24,54408,0,579.00,306.01,1.00,159.89,VT,2007
DRGVER,54408,0,25.00,24.24,24.00,0.43,VT,2007
DXCCS1,54408,0,670.00,182.20,2.00,125.83,VT,2007
DXCCS2,50629,3779,670.00,176.13,1.00,152.32,VT,2007
DXCCS3,45772,8636,670.00,177.62,1.00,163.35,VT,2007
DXCCS4,41038,13370,670.00,180.65,1.00,171.67,VT,2007
DXCCS5,36504,17904,670.00,181.32,1.00,173.37,VT,2007
DXCCS6,32010,22398,670.00,182.27,1.00,173.62,VT,2007
DXCCS7,27715,26693,670.00,184.60,1.00,175.30,VT,2007
DXCCS8,23526,30882,670.00,184.61,1.00,175.18,VT,2007
DXCCS9,19393,35015,670.00,185.57,1.00,173.37,VT,2007
DXCCS10,14492,39916,670.00,189.04,1.00,173.27,VT,2007
DXCCS11,10816,43592,670.00,186.36,2.00,169.71,VT,2007
DXCCS12,9072,45336,670.00,188.39,1.00,170.89,VT,2007
DXCCS13,7560,46848,670.00,187.07,1.00,166.15,VT,2007
DXCCS14,6260,48148,670.00,192.62,1.00,171.13,VT,2007
DXCCS15,5119,49289,670.00,192.21,1.00,169.48,VT,2007
DXCCS16,4151,50257,670.00,192.65,1.00,169.50,VT,2007
DXCCS17,3302,51106,670.00,195.15,1.00,166.74,VT,2007
DXCCS18,2158,52250,663.00,199.80,2.00,173.09,VT,2007
DXCCS19,1776,52632,670.00,198.33,1.00,171.89,VT,2007
DXCCS20,1478,52930,670.00,196.74,3.00,173.16,VT,2007
E_CCS1,10254,44154,2621.00,2531.04,662.00,390.14,VT,2007
E_CCS2,3518,50890,2621.00,2546.90,662.00,367.83,VT,2007
E_CCS3,527,53881,2621.00,2428.43,662.00,578.77,VT,2007
