field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,541124,192,99.00,41.99,0.00,27.92,WA,1991
AGEDAY,83392,457924,364.00,13.82,0.00,52.80,WA,1991
SEX,541257,59,2.00,1.59,1.00,0.49,WA,1991
DQTR,541316,0,4.00,2.50,1.00,1.12,WA,1991
LOS,540827,489,379.00,4.81,0.00,6.87,WA,1991
DISP,541316,0,20.00,1.79,1.00,2.99,WA,1991
DIED,541316,0,1.00,0.02,0.00,0.15,WA,1991
ATYPE,541316,0,6.00,2.36,1.00,1.03,WA,1991
ASOURCE,535971,5345,5.00,3.73,1.00,1.83,WA,1991
NDX,541316,0,7.00,3.14,1.00,1.60,WA,1991
DXV1,541271,45,1.00,0.00,0.00,0.00,WA,1991
DCCHPR1,541315,1,259.00,154.30,1.00,64.27,WA,1991
NPR,541316,0,3.00,1.23,0.00,1.15,WA,1991
PRV1,348863,192453,1.00,0.00,0.00,0.01,WA,1991
PCCHPR1,348867,192449,231.00,123.09,1.00,58.43,WA,1991
DRG,541316,0,492.00,270.45,1.00,132.31,WA,1991
MDC,541316,0,25.00,10.27,1.00,5.42,WA,1991
DRGVER,541316,0,9.00,7.50,7.00,0.87,WA,1991
DRG10,541316,0,492.00,270.65,1.00,132.44,WA,1991
MDC10,541316,0,25.00,10.27,1.00,5.42,WA,1991
PAY1,541316,0,6.00,2.39,1.00,1.12,WA,1991
TOTCHG,520373,20943,621687.00,6202.16,44.00,11183.63,WA,1991
DSNUM,541316,0,8.00,8.00,8.00,0.00,WA,1991
DSTYPE,541316,0,1.00,1.00,1.00,0.00,WA,1991
ADAYWK,541316,0,7.00,3.93,1.00,1.83,WA,1991
AMONTH,541316,0,12.00,6.48,1.00,3.44,WA,1991
LOS_X,541316,0,8044.00,4.87,0.00,15.03,WA,1991
NEOMAT,541316,0,3.00,0.43,0.00,0.73,WA,1991
DXSYS,541316,0,1.00,1.00,1.00,0.00,WA,1991
DSNDX,541316,0,7.00,7.00,7.00,0.00,WA,1991
PRSYS,541316,0,1.00,1.00,1.00,0.00,WA,1991
DSNPR,541316,0,3.00,3.00,3.00,0.00,WA,1991
PAY1_N,541316,0,12.00,4.45,1.00,3.86,WA,1991
PAY2,186578,354738,6.00,3.22,1.00,0.81,WA,1991
PAY2_N,186578,354738,12.00,6.33,1.00,3.50,WA,1991
TOTCHG_X,520833,20483,621687.45,6198.27,10.01,11181.55,WA,1991
DXV2,429141,112175,1.00,0.00,0.00,0.03,WA,1991
DXV3,318323,222993,1.00,0.00,0.00,0.02,WA,1991
DXV4,229320,311996,1.00,0.00,0.00,0.02,WA,1991
DXV5,161126,380190,1.00,0.00,0.00,0.03,WA,1991
DXV6,18551,522765,1.00,0.00,0.00,0.03,WA,1991
DXV7,3716,537600,0.00,0.00,0.00,0.00,WA,1991
DCCHPR2,428932,112384,260.00,138.85,1.00,68.60,WA,1991
DCCHPR3,318221,223095,260.00,133.15,1.00,69.38,WA,1991
DCCHPR4,229247,312069,260.00,129.60,1.00,70.03,WA,1991
DCCHPR5,161048,380268,260.00,131.41,1.00,72.87,WA,1991
DCCHPR6,18529,522787,260.00,260.00,260.00,0.00,WA,1991
DCCHPR7,3716,537600,260.00,260.00,260.00,0.00,WA,1991
PRV2,202485,338831,1.00,0.00,0.00,0.01,WA,1991
PRV3,114572,426744,1.00,0.00,0.00,0.01,WA,1991
PCCHPR2,202451,338865,231.00,129.59,1.00,60.02,WA,1991
PCCHPR3,114568,426748,231.00,132.37,1.00,64.26,WA,1991
AYEAR,541316,0,1991.00,1990.99,1969.00,0.11,WA,1991
