field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,610859,448,109.00,47.15,0.00,28.42,WI,1998
AGEDAY,75531,535776,364.00,14.84,0.00,54.95,WI,1998
AGEMONTH,91591,519716,131.00,11.23,0.00,28.14,WI,1998
AMONTH,611307,0,12.00,6.44,1.00,3.46,WI,1998
ASOURCE,606322,4985,5.00,3.49,1.00,1.89,WI,1998
ATYPE,611307,0,4.00,2.18,1.00,0.93,WI,1998
AWEEKEND,611307,0,1.00,0.19,0.00,0.40,WI,1998
DIED,611307,0,1.00,0.02,0.00,0.14,WI,1998
DISPUB92,611307,0,51.00,2.09,1.00,3.15,WI,1998
DISPUNIFORM,611307,0,20.00,2.24,1.00,3.12,WI,1998
DQTR,611307,0,4.00,2.48,1.00,1.12,WI,1998
DRG,611307,0,511.00,269.08,1.00,142.41,WI,1998
DRG10,611307,0,492.00,262.34,1.00,138.00,WI,1998
DRG18,611307,0,511.00,269.10,1.00,142.45,WI,1998
DRGVER,611307,0,16.00,15.25,15.00,0.43,WI,1998
DXCCS1,611299,8,259.00,147.31,1.00,65.27,WI,1998
DXCCS2,553835,57472,2621.00,145.68,1.00,238.14,WI,1998
DXCCS3,458907,152400,2621.00,159.24,1.00,312.89,WI,1998
DXCCS4,376299,235008,2621.00,172.53,1.00,369.29,WI,1998
DXCCS5,305247,306060,2621.00,189.47,1.00,424.78,WI,1998
DXCCS6,242413,368894,2621.00,210.82,1.00,481.22,WI,1998
DXCCS7,190561,420746,2621.00,233.53,1.00,532.65,WI,1998
DXCCS8,148015,463292,2621.00,254.53,1.00,574.15,WI,1998
DXCCS9,109149,502158,2621.00,371.12,1.00,760.04,WI,1998
DXCCS10,21029,590278,2621.00,2612.27,101.00,30.14,WI,1998
FEMALE,611216,91,1.00,0.58,0.00,0.49,WI,1998
LOS,611190,117,365.00,4.65,0.00,8.44,WI,1998
LOS_X,611307,0,5327.00,4.82,0.00,17.32,WI,1998
MDC,611307,0,25.00,10.10,0.00,5.79,WI,1998
MDC10,611307,0,25.00,10.09,0.00,5.79,WI,1998
MDC18,611307,0,25.00,10.10,0.00,5.79,WI,1998
NDX,611307,0,10.00,4.94,1.00,2.77,WI,1998
NEOMAT,611307,0,3.00,0.35,0.00,0.67,WI,1998
NPR,611307,0,6.00,1.30,0.00,1.53,WI,1998
