field,count,count_null,max,mean,min,stddev_samp,state,year
AGE,295605,8,110.00,52.20,0.00,26.39,WV,2004
AGEDAY,23166,272447,364.00,20.00,0.00,63.11,WV,2004
AGEMONTH,30322,265291,131.00,13.85,0.00,29.51,WV,2004
AMONTH,295613,0,12.00,6.38,1.00,3.45,WV,2004
APSDRG_X,295613,0,9112.00,2590.36,10.00,1538.96,WV,2004
ASOURCE,294774,839,5.00,2.92,1.00,1.95,WV,2004
ATYPE,294857,756,4.00,1.90,1.00,0.98,WV,2004
AWEEKEND,295612,1,1.00,0.19,0.00,0.39,WV,2004
DIED,295613,0,1.00,0.02,0.00,0.15,WV,2004
DISPUB92,295613,0,72.00,3.56,1.00,9.72,WV,2004
DISPUNIFORM,295613,0,99.00,2.28,1.00,3.31,WV,2004
DQTR,295613,0,4.00,2.46,1.00,1.12,WV,2004
DRG,295613,0,543.00,256.86,1.00,148.30,WV,2004
DRG18,295613,0,511.00,238.40,1.00,140.39,WV,2004
DRGVER,295613,0,22.00,21.24,21.00,0.43,WV,2004
DXCCS1,295553,60,259.00,140.05,1.00,61.24,WV,2004
DXCCS2,275194,20419,259.00,121.75,1.00,60.45,WV,2004
DXCCS3,246827,48786,259.00,117.13,1.00,60.22,WV,2004
DXCCS4,218083,77530,259.00,114.02,1.00,60.40,WV,2004
DXCCS5,188381,107232,259.00,112.88,1.00,60.79,WV,2004
DXCCS6,156651,138962,259.00,112.67,1.00,61.57,WV,2004
DXCCS7,130889,164724,259.00,113.05,1.00,62.33,WV,2004
DXCCS8,107318,188295,259.00,113.90,1.00,63.13,WV,2004
DXCCS9,85884,209729,259.00,114.95,1.00,63.81,WV,2004
E_CCS1,19306,276307,2621.00,2611.32,2601.00,6.06,WV,2004
E_CCS2,2944,292669,2621.00,2611.99,2601.00,6.80,WV,2004
E_CCS3,275,295338,2621.00,2615.86,2601.00,5.24,WV,2004
E_CCS4,23,295590,2621.00,2614.13,2601.00,4.93,WV,2004
FEMALE,295584,29,1.00,0.59,0.00,0.49,WV,2004
LOS,295597,16,358.00,4.91,0.00,6.84,WV,2004
LOS_X,295613,0,778.00,4.94,-146.00,7.77,WV,2004
MDC,295613,0,25.00,8.80,0.00,5.48,WV,2004
MDC18,295613,0,25.00,8.80,0.00,5.48,WV,2004
NDX,295613,0,9.00,5.77,1.00,2.75,WV,2004
NECODE,295613,0,4.00,0.12,0.00,0.36,WV,2004
NEOMAT,295613,0,3.00,0.22,0.00,0.55,WV,2004
NPR,295613,0,6.00,1.23,0.00,1.62,WV,2004
PAY1,292484,3129,6.00,2.12,1.00,1.31,WV,2004
PAY2,127554,168059,6.00,2.88,1.00,1.19,WV,2004
PL_CBSA,293974,1639,2.00,1.25,0.00,0.84,WV,2004
PL_MSA1993,294077,1536,1.00,0.42,0.00,0.49,WV,2004
PL_RUCA4,289234,6379,4.00,2.24,1.00,1.21,WV,2004
PL_UR_CAT4,294077,1536,4.00,2.73,1.00,0.88,WV,2004
PL_UR_CAT5,294077,1536,5.00,2.80,1.00,1.01,WV,2004
PRCCS1,156282,139331,231.00,117.18,1.00,63.02,WV,2004
PRCCS2,90604,205009,231.00,118.46,1.00,66.16,WV,2004
PRCCS3,54095,241518,231.00,112.53,1.00,69.19,WV,2004
PRCCS4,31016,264597,231.00,113.22,1.00,71.72,WV,2004
PRCCS5,19899,275714,231.00,107.32,1.00,74.07,WV,2004
PRCCS6,11237,284376,231.00,126.08,1.00,78.70,WV,2004
TOTCHG,295558,55,938638.00,12584.26,39.00,19768.16,WV,2004
AYEAR,295612,1,2004.00,2003.99,2002.00,0.12,WV,2004
DMONTH,295613,0,12.00,6.38,1.00,3.45,WV,2004
BMONTH,295613,0,12.00,6.48,1.00,3.42,WV,2004
BYEAR,295613,0,2004.00,1951.32,1893.00,26.46,WV,2004
